,nct_id,source,text,ner_manual_ct_target,ner_manual_ct_target_idx,ner_manual_ct_target_disease,ner_manual_ct_target_intervention
0,NCT03598322,OfficialTitle+BriefSummary,The Volume Effect of Hydrodissection for Injection Therapies in Patients With Carpal Tunnel Syndrome - Evaluation Model by Shear Wave Ultrasound Elastography and Artificial Intelligence Imaging Analysis | The investigators investigated the volume effect of hydrodissection for Injection therapies in patients with Carpal Tunnel Syndrome. The investigators evaluated participants by Shear Wave Ultrasound Elastography and Artificial Intelligence Imaging Analysis,"[(21, 36, 'OTHER', 'Hydrodissection'), (78, 100, 'CONDITION', 'Carpal Tunnel Syndrome'), (257, 272, 'OTHER', 'hydrodissection'), (314, 336, 'CONDITION', 'Carpal Tunnel Syndrome')]","[(21, 36), (78, 100), (257, 272), (314, 336)]","[(78, 100, 'CONDITION'), (314, 336, 'CONDITION')]","[(21, 36, 'OTHER'), (257, 272, 'OTHER')]"
1,NCT01565395,OfficialTitle+BriefSummary,Randomized Double Blind Placebo Controlled Cross-Over Study of Incobotulinum Toxin A (Xeomin®) for Troublesome Sialorrhea in Parkinson's Disease (PD)/Parkinsonism and Amyotrophic Lateral Sclerosis (ALS) | The purpose of this study is to evaluate the safety and efficacy of Incobotulinum Toxin A (Xeomin®) injections into the parotid and submandibular glands in patients with Parkinson's Disease/Parkinsonism and Amyotrophic Lateral Sclerosis (ALS) with troublesome sialorrhea.,"[(24, 31, 'CONTROL', 'Placebo'), (63, 84, 'DRUG', 'Incobotulinum Toxin A'), (86, 92, 'DRUG', 'Xeomin'), (111, 121, 'CONDITION', 'Sialorrhea'), (125, 144, 'CONDITION', ""Parkinson's Disease""), (167, 196, 'CONDITION', 'Amyotrophic Lateral Sclerosis'), (198, 201, 'CONDITION', 'ALS'), (273, 294, 'DRUG', 'Incobotulinum Toxin A'), (296, 302, 'DRUG', 'Xeomin'), (375, 394, 'CONDITION', ""Parkinson's Disease""), (395, 407, 'CONDITION', 'Parkinsonism'), (412, 441, 'CONDITION', 'Amyotrophic Lateral Sclerosis'), (443, 446, 'CONDITION', 'ALS'), (465, 475, 'CONDITION', 'sialorrhea')]","[(24, 31), (63, 84), (86, 92), (111, 121), (125, 144), (167, 196), (198, 201), (273, 294), (296, 302), (375, 394), (395, 407), (412, 441), (443, 446), (465, 475)]","[(111, 121, 'CONDITION'), (125, 144, 'CONDITION'), (167, 196, 'CONDITION'), (198, 201, 'CONDITION'), (375, 394, 'CONDITION'), (395, 407, 'CONDITION'), (412, 441, 'CONDITION'), (443, 446, 'CONDITION'), (465, 475, 'CONDITION')]","[(24, 31, 'CONTROL'), (63, 84, 'DRUG'), (86, 92, 'DRUG'), (273, 294, 'DRUG'), (296, 302, 'DRUG')]"
2,NCT02425644,OfficialTitle+BriefSummary,"Multicenter, Randomized, Double-blind, Parallel-group, Active-controlled, Superiority Study to Compare the Efficacy and Safety of Ponesimod to Teriflunomide in Subjects With Relapsing Multiple Sclerosis | International clinical trial to compare ponesimod and teriflunomide in relapsing multiple sclerosis","[(130, 139, 'DRUG', 'Ponesimod'), (143, 156, 'DRUG', 'Teriflunomide'), (174, 202, 'CONDITION', 'Relapsing Multiple Sclerosis'), (245, 254, 'DRUG', 'ponesimod'), (259, 272, 'DRUG', 'teriflunomide'), (276, 304, 'CONDITION', 'relapsing multiple sclerosis')]","[(130, 139), (143, 156), (174, 202), (245, 254), (259, 272), (276, 304)]","[(174, 202, 'CONDITION'), (276, 304, 'CONDITION')]","[(130, 139, 'DRUG'), (143, 156, 'DRUG'), (245, 254, 'DRUG'), (259, 272, 'DRUG')]"
3,NCT03107871,OfficialTitle+BriefSummary,"Randomized Controlled Trial of Valganciclovir for Cytomegalovirus Infected Hearing Impaired Infants: ValEAR Trial | The overall goal of this study is to determine the clinical benefit and safety of antiviral therapy for asymptomatic congenital cytomegalovirus (cCMV) infected hearing-impaired infants. We will conduct a multi-center double-blind randomized placebo-controlled trial to determine whether hearing-impaired infants with asymptomatic cCMV have better hearing and language outcomes if they receive valganciclovir antiviral treatment. We will also determine the safety of antiviral valganciclovir therapy for asymptomatic cCMV-infected hearing impaired infants. This study will be unique in that the cohort enrolled will only include hearing-impaired infants with asymptomatic cCMV.

Primary Objective: To determine if treatment of cCMV-infected hearing impaired infants with isolated hearing loss with the antiviral drug valganciclovir reduces the mean slope of total hearing thresholds over the 20 months after randomization compared to untreated cCMV-infected infants with isolated hearing loss.

Main Secondary Objectives:

To determine if valganciclovir treatment improves the following outcomes when compared to the control group:

The slope of best ear hearing thresholds over the 20 months after randomization.
The MacArthur-Bates Communicative Development Inventory (CDI) percentile score for words produced at 20 months of age.
To evaluate safety measures based on all grade 3 or greater new adverse events designated by the NIAID Division of AIDS (DAIDS) toxicity tables.","[(31, 45, 'DRUG', 'Valganciclovir'), (50, 65, 'CONDITION', 'Cytomegalovirus'), (75, 91, 'CONDITION', 'Hearing Impaired'), (220, 259, 'CONDITION', 'asymptomatic congenital cytomegalovirus'), (261, 265, 'CONDITION', 'cCMV'), (276, 292, 'CONDITION', 'hearing-impaired'), (357, 364, 'CONTROL', 'placebo'), (403, 419, 'CONDITION', 'hearing-impaired'), (433, 450, 'CONDITION', 'asymptomatic cCMV'), (509, 523, 'DRUG', 'valganciclovir'), (592, 606, 'DRUG', 'valganciclovir'), (619, 636, 'CONDITION', 'asymptomatic cCMV'), (646, 662, 'CONDITION', 'hearing impaired'), (744, 760, 'CONDITION', 'hearing-impaired'), (774, 791, 'CONDITION', 'asymptomatic cCMV'), (842, 855, 'CONDITION', 'cCMV-infected'), (856, 872, 'CONDITION', 'hearing impaired'), (932, 946, 'DRUG', 'valganciclovir'), (1059, 1072, 'CONDITION', 'cCMV-infected'), (1154, 1168, 'DRUG', 'valganciclovir')]","[(31, 45), (50, 65), (75, 91), (220, 259), (261, 265), (276, 292), (357, 364), (403, 419), (433, 450), (509, 523), (592, 606), (619, 636), (646, 662), (744, 760), (774, 791), (842, 855), (856, 872), (932, 946), (1059, 1072), (1154, 1168)]","[(50, 65, 'CONDITION'), (75, 91, 'CONDITION'), (220, 259, 'CONDITION'), (261, 265, 'CONDITION'), (276, 292, 'CONDITION'), (403, 419, 'CONDITION'), (433, 450, 'CONDITION'), (619, 636, 'CONDITION'), (646, 662, 'CONDITION'), (744, 760, 'CONDITION'), (774, 791, 'CONDITION'), (842, 855, 'CONDITION'), (856, 872, 'CONDITION'), (1059, 1072, 'CONDITION')]","[(31, 45, 'DRUG'), (357, 364, 'CONTROL'), (509, 523, 'DRUG'), (592, 606, 'DRUG'), (932, 946, 'DRUG'), (1154, 1168, 'DRUG')]"
4,NCT05531500,OfficialTitle+BriefSummary,"Patient Reported Outcomes Following Interventional Procedures in Pelvic Pain | The investigators aim from this study, to determine the safety and efficacy of pulsed radiofrequency in the management of pudendal neuralgia, compared to current a standard intervention, which is corticosteroid injection for PN, as part of multidisciplinary pain management.","[(65, 76, 'CONDITION', 'Pelvic Pain'), (158, 179, 'OTHER', 'pulsed radiofrequency'), (201, 219, 'CONDITION', 'pudendal neuralgia'), (275, 289, 'DRUG', 'corticosteroid'), (304, 306, 'CONDITION', 'PN'), (337, 341, 'CONDITION', 'pain')]","[(65, 76), (158, 179), (201, 219), (275, 289), (304, 306), (337, 341)]","[(65, 76, 'CONDITION'), (201, 219, 'CONDITION'), (304, 306, 'CONDITION'), (337, 341, 'CONDITION')]","[(158, 179, 'OTHER'), (275, 289, 'DRUG')]"
5,NCT04546399,OfficialTitle+BriefSummary,"A Phase 2 Study of Blinatumomab (NSC# 765986) in Combination With Nivolumab (NSC # 748726), a Checkpoint Inhibitor of PD-1, in B-ALL Patients Aged >/= 1 to < 31 Years Old With First Relapse | This phase II trial studies the effect of nivolumab in combination with blinatumomab compared to blinatumomab alone in treating patients with B-cell acute lymphoblastic leukemia (B-ALL) that has come back (relapsed). Down syndrome patients with relapsed B-ALL are included in this study. Blinatumomab is an antibody, which is a protein that identifies and targets specific molecules in the body. Blinatumomab searches for and attaches itself to the cancer cell. Once attached, an immune response occurs which may kill the cancer cell. Nivolumab is a medicine that may boost a patient's immune system. Giving nivolumab in combination with blinatumomab may cause the cancer to stop growing for a period of time, and for some patients, it may lessen the symptoms, such as pain, that are caused by the cancer.","[(19, 31, 'DRUG', 'Blinatumomab'), (66, 75, 'DRUG', 'Nivolumab'), (94, 122, 'DRUG', 'Checkpoint Inhibitor of PD-1'), (127, 132, 'CONDITION', 'B-ALL'), (176, 189, 'CONDITION', 'First Relapse'), (234, 243, 'DRUG', 'nivolumab'), (264, 276, 'DRUG', 'blinatumomab'), (289, 301, 'DRUG', 'blinatumomab'), (334, 369, 'CONDITION', 'B-cell acute lymphoblastic leukemia'), (371, 376, 'CONDITION', 'B-ALL'), (398, 406, 'CONDITION', 'relapsed'), (409, 422, 'CONDITION', 'Down syndrome'), (437, 451, 'CONDITION', 'relapsed B-ALL'), (480, 492, 'DRUG', 'Blinatumomab'), (588, 600, 'DRUG', 'Blinatumomab'), (641, 647, 'CONDITION', 'cancer'), (714, 720, 'CONDITION', 'cancer'), (727, 736, 'DRUG', 'Nivolumab'), (800, 809, 'DRUG', 'nivolumab'), (830, 842, 'DRUG', 'blinatumomab'), (857, 863, 'CONDITION', 'cancer'), (961, 965, 'CONDITION', 'pain'), (990, 996, 'CONDITION', 'cancer')]","[(19, 31), (66, 75), (94, 122), (127, 132), (176, 189), (234, 243), (264, 276), (289, 301), (334, 369), (371, 376), (398, 406), (409, 422), (437, 451), (480, 492), (588, 600), (641, 647), (714, 720), (727, 736), (800, 809), (830, 842), (857, 863), (961, 965), (990, 996)]","[(127, 132, 'CONDITION'), (176, 189, 'CONDITION'), (334, 369, 'CONDITION'), (371, 376, 'CONDITION'), (398, 406, 'CONDITION'), (409, 422, 'CONDITION'), (437, 451, 'CONDITION'), (641, 647, 'CONDITION'), (714, 720, 'CONDITION'), (857, 863, 'CONDITION'), (961, 965, 'CONDITION'), (990, 996, 'CONDITION')]","[(19, 31, 'DRUG'), (66, 75, 'DRUG'), (94, 122, 'DRUG'), (234, 243, 'DRUG'), (264, 276, 'DRUG'), (289, 301, 'DRUG'), (480, 492, 'DRUG'), (588, 600, 'DRUG'), (727, 736, 'DRUG'), (800, 809, 'DRUG'), (830, 842, 'DRUG')]"
6,NCT02021903,OfficialTitle+BriefSummary,"Post-prandial Hypotension and Sleepiness in Parkinson's Disease and Other Synucleinopathies: the Model of an Oral Glucose Load | Excessive daytime sleepiness (EDS) is observed in 30 to 50 % of patients with Parkinson's disease (PD) patients, Dementia with Lewy Bodies (DLB) and Multiple System Atrophy (MSA). It is a major complain and represents a socially relevant problem as unintended episodes of sleep can also occur while driving for example. Arterial hypotension is frequently observed in patients with PD, DLB and MSA and considered as a marker of autonomic failure. Sleepiness is known to occur preferentially when patients are having arterial hypotension whatever the cause (i.e. postprandial period, administration of hypotensive medication such as dopamine agonists). We hypothesize that arterial hypotension is associated with abnormal sleepiness. We have observed this association in an on-going epidemiological survey Hyperglycaemia induced by oral glucose load - a standardized model simulating food intake during a meal - provokes arterial hypotension in the majority of Parkinson's disease patients with dysautonomia. It can be hypothesised that sleep attacks in these patients could be mediated by this fall in blood pressure.","[(0, 25, 'CONDITION', 'Post-prandial Hypotension'), (30, 40, 'CONDITION', 'Sleepiness'), (44, 63, 'CONDITION', ""Parkinson's Disease""), (74, 91, 'CONDITION', 'Synucleinopathies'), (129, 157, 'CONDITION', 'Excessive daytime sleepiness'), (159, 162, 'CONDITION', 'EDS'), (207, 226, 'CONDITION', ""Parkinson's disease""), (228, 230, 'CONDITION', 'PD'), (242, 267, 'CONDITION', 'Dementia with Lewy Bodies'), (269, 272, 'CONDITION', 'DLB'), (278, 301, 'CONDITION', 'Multiple System Atrophy'), (303, 306, 'CONDITION', 'MSA'), (449, 469, 'CONDITION', 'Arterial hypotension'), (510, 512, 'CONDITION', 'PD'), (514, 517, 'CONDITION', 'DLB'), (522, 525, 'CONDITION', 'MSA'), (575, 585, 'CONDITION', 'Sleepiness'), (644, 664, 'CONDITION', 'arterial hypotension'), (800, 820, 'CONDITION', 'arterial hypotension'), (849, 859, 'CONDITION', 'sleepiness'), (1048, 1068, 'CONDITION', 'arterial hypotension'), (1088, 1107, 'CONDITION', ""Parkinson's disease""), (1164, 1177, 'CONDITION', 'sleep attacks')]","[(0, 25), (30, 40), (44, 63), (74, 91), (129, 157), (159, 162), (207, 226), (228, 230), (242, 267), (269, 272), (278, 301), (303, 306), (449, 469), (510, 512), (514, 517), (522, 525), (575, 585), (644, 664), (800, 820), (849, 859), (1048, 1068), (1088, 1107), (1164, 1177)]","[(0, 25, 'CONDITION'), (30, 40, 'CONDITION'), (44, 63, 'CONDITION'), (74, 91, 'CONDITION'), (129, 157, 'CONDITION'), (159, 162, 'CONDITION'), (207, 226, 'CONDITION'), (228, 230, 'CONDITION'), (242, 267, 'CONDITION'), (269, 272, 'CONDITION'), (278, 301, 'CONDITION'), (303, 306, 'CONDITION'), (449, 469, 'CONDITION'), (510, 512, 'CONDITION'), (514, 517, 'CONDITION'), (522, 525, 'CONDITION'), (575, 585, 'CONDITION'), (644, 664, 'CONDITION'), (800, 820, 'CONDITION'), (849, 859, 'CONDITION'), (1048, 1068, 'CONDITION'), (1088, 1107, 'CONDITION'), (1164, 1177, 'CONDITION')]",[]
7,NCT04706910,OfficialTitle+BriefSummary,"18F-DOPA II - PET Imaging Optimization | A single centre non-randomized, non-blinded phase III prospective cohort study of 18F-DOPA PET/CT imaging in specific patient populations:

Pediatric patients (less than 18 years old) with congenital hyperinsulinism.
Pediatric patients (less than 18 years old) with neuroblastoma.
Pediatric (less than 18 years old) or Adult patients (18 or older) with known or clinically suspected neuroendocrine tumor.
Adult patients (18 or older) with a clinical suspicion of Parkinson's disease or Lewy body dementia.
Pediatric (less than 18 years old) or Adult patients (18 or older) with brain tumors.

Image optimization (the primary study objective) and gallbladder activity pattern (the secondary objective) will be evaluated.","[(230, 256, 'CONDITION', 'congenital hyperinsulinism'), (307, 320, 'CONDITION', 'neuroblastoma'), (424, 444, 'CONDITION', 'neuroendocrine tumor'), (527, 545, 'CONDITION', 'Lewy body dementia'), (619, 631, 'CONDITION', 'brain tumors')]","[(230, 256), (307, 320), (424, 444), (527, 545), (619, 631)]","[(230, 256, 'CONDITION'), (307, 320, 'CONDITION'), (424, 444, 'CONDITION'), (527, 545, 'CONDITION'), (619, 631, 'CONDITION')]",[]
8,NCT01355627,OfficialTitle+BriefSummary,"TachoSil® Versus Current Practice in Dura Sealing Techniques for the Prevention of Post-operative Cerebrospinal Fluid (CSF) Leaks in Patients Undergoing Skull Base Surgery: An Open Label, Randomised, Controlled, Multi-centre, Parallel Group Efficacy and Safety Trial. | The primary objective is to demonstrate superiority of TachoSil® compared to current practice as an adjunct in sealing the dura mater. The efficacy of the dura mater sealing must be evaluated post-operatively. The secondary objective is to evaluate the safety of TachoSil® as an adjunct in sealing the dura mater.

The trial population will consist of 726 randomised (1:1) patients elected for skull base surgery. The trial duration consists of screening, surgery, efficacy follow-up after 7±1 weeks and safety follow-up 28±2 weeks after surgery.","[(0, 8, 'OTHER', 'TachoSil'), (17, 33, 'CONTROL', 'Current Practice'), (83, 129, 'CONDITION', 'Post-operative Cerebrospinal Fluid (CSF) Leaks'), (153, 171, 'CONDITION', 'Skull Base Surgery'), (325, 333, 'OTHER', 'TachoSil'), (533, 541, 'OTHER', 'TachoSil'), (664, 682, 'CONDITION', 'skull base surgery')]","[(0, 8), (17, 33), (83, 129), (153, 171), (325, 333), (533, 541), (664, 682)]","[(83, 129, 'CONDITION'), (153, 171, 'CONDITION'), (664, 682, 'CONDITION')]","[(0, 8, 'OTHER'), (17, 33, 'CONTROL'), (325, 333, 'OTHER'), (533, 541, 'OTHER')]"
9,NCT03298672,OfficialTitle+BriefSummary,"A Randomized, Placebo-Controlled, Double-Blinded, First-in-Human Study to Evaluate Safety, Tolerability, and Pharmacokinetics of Single Ascending Doses (Part A) and Multiple Ascending Doses (Part B) of NDX-1017 in Healthy Young and Elderly Subjects | This Phase 1 randomized, placebo-controlled, double-blinded, first-in-human study will evaluate safety, tolerability, and pharmacokinetics of single and multiple ascending doses of NDX-1017 in healthy young and elderly subjects, and elderly subjects with amnestic mild cognitive impairment (MCI), Alzheimer's disease (mild, mild-to-moderate, or moderate), or mixed dementia with Alzheimer's and vascular components (mild, mild-to-moderate, or moderate).","[(14, 21, 'CONTROL', 'Placebo'), (202, 210, 'DRUG', 'NDX-1017'), (276, 283, 'CONTROL', 'placebo'), (432, 440, 'DRUG', 'NDX-1017'), (515, 540, 'CONDITION', 'mild cognitive impairment'), (542, 545, 'CONDITION', 'MCI'), (548, 567, 'CONDITION', ""Alzheimer's disease""), (610, 665, 'CONDITION', ""mixed dementia with Alzheimer's and vascular components"")]","[(14, 21), (202, 210), (276, 283), (432, 440), (515, 540), (542, 545), (548, 567), (610, 665)]","[(515, 540, 'CONDITION'), (542, 545, 'CONDITION'), (548, 567, 'CONDITION'), (610, 665, 'CONDITION')]","[(14, 21, 'CONTROL'), (202, 210, 'DRUG'), (276, 283, 'CONTROL'), (432, 440, 'DRUG')]"
