,nct_id,source,text,ner_manual_ct_target,ner_manual_ct_target_idx,ner_manual_ct_target_disease,ner_manual_ct_target_intervention
0,NCT00004659,OfficialTitle+BriefSummary,"Phase II Randomized Study of Stereotactic Radiosurgery Plus Fractionated Whole-Brain Radiotherapy Vs Fractionated Whole-Brain Radiotherapy Alone for Multiple Primary or Metastatic Brain Tumors | OBJECTIVES: I. Evaluate whether stereotactic radiosurgery provides local control at multiple sites in patients with primary or metastatic brain tumors, controlled systemic disease, and preserved neurologic function.

II. Examine survival, clinical outcome, and local tumor imaging response in these patients.","[(29, 54, 'RADIOTHERAPY', 'Stereotactic Radiosurgery'), (60, 97, 'RADIOTHERAPY', 'Fractionated Whole-Brain Radiotherapy'), (101, 144, 'CONTROL', 'Fractionated Whole-Brain Radiotherapy Alone'), (149, 192, 'CONDITION', 'Multiple Primary or Metastatic Brain Tumors'), (227, 252, 'RADIOTHERAPY', 'stereotactic radiosurgery'), (311, 345, 'CONDITION', 'primary or metastatic brain tumors'), (462, 467, 'CONDITION', 'tumor')]","[(29, 54), (60, 97), (101, 144), (149, 192), (227, 252), (311, 345), (462, 467)]","[(149, 192, 'CONDITION'), (311, 345, 'CONDITION'), (462, 467, 'CONDITION')]","[(29, 54, 'RADIOTHERAPY'), (60, 97, 'RADIOTHERAPY'), (101, 144, 'CONTROL'), (227, 252, 'RADIOTHERAPY')]"
1,NCT00053625,OfficialTitle+BriefSummary,"Deep Brain Stimulation for Parkinson's Disease Trial | The purpose of this trial is to evaluate the effect of deep brain stimulation in the the globus pallidus (Gpi) and the subthalamic nucleus (STN) on motor, neuropsychological and psychiatric function, and quality of life in patients with Parkinson's disease.","[(0, 22, 'OTHER', 'Deep Brain Stimulation'), (27, 46, 'CONDITION', ""Parkinson's Disease""), (110, 132, 'OTHER', 'deep brain stimulation'), (292, 311, 'CONDITION', ""Parkinson's disease"")]","[(0, 22), (27, 46), (110, 132), (292, 311)]","[(27, 46, 'CONDITION'), (292, 311, 'CONDITION')]","[(0, 22, 'OTHER'), (110, 132, 'OTHER')]"
2,NCT00078988,OfficialTitle+BriefSummary,"A Phase III Randomized Trial for the Treatment of Pediatric High Grade Gliomas at First Recurrence With a Single High Dose Chemotherapy and Autologous Stem Cell Transplant Versus Three Courses of Intermediate Dose Chemotherapy With Peripheral Blood Stem Cell (PBSC) Support | RATIONALE: Drugs used in chemotherapy, such as carboplatin, thiotepa, and etoposide, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with autologous stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. Isotretinoin may be effective in preventing recurrence of glioma. It is not yet known which regimen of chemotherapy plus autologous stem cell transplantation with or without isotretinoin is more effective in treating recurrent high-grade glioma.

PURPOSE: This randomized phase III trial is studying high-dose chemotherapy or intermediate-dose chemotherapy followed by autologous stem cell transplantation to see how well it works compared to high-dose chemotherapy or intermediate-dose chemotherapy followed by autologous stem cell transplantation and isotretinoin in treating young patients with recurrent high-grade glioma.","[(50, 98, 'CONDITION', 'Pediatric High Grade Gliomas at First Recurrence'), (123, 135, 'OTHER', 'Chemotherapy'), (140, 171, 'SURGICAL', 'Autologous Stem Cell Transplant'), (214, 226, 'OTHER', 'Chemotherapy'), (232, 258, 'SURGICAL', 'Peripheral Blood Stem Cell'), (260, 264, 'SURGICAL', 'PBSC'), (301, 313, 'OTHER', 'chemotherapy'), (323, 334, 'DRUG', 'carboplatin'), (336, 344, 'DRUG', 'thiotepa'), (350, 359, 'DRUG', 'etoposide'), (392, 397, 'CONDITION', 'tumor'), (457, 469, 'OTHER', 'chemotherapy'), (475, 511, 'SURGICAL', 'autologous stem cell transplantation'), (557, 569, 'OTHER', 'chemotherapy'), (590, 595, 'CONDITION', 'tumor'), (603, 615, 'DRUG', 'Isotretinoin'), (661, 667, 'CONDITION', 'glioma'), (706, 718, 'OTHER', 'chemotherapy'), (724, 760, 'SURGICAL', 'autologous stem cell transplantation'), (777, 789, 'DRUG', 'isotretinoin'), (820, 847, 'CONDITION', 'recurrent high-grade glioma'), (913, 925, 'OTHER', 'chemotherapy'), (947, 959, 'OTHER', 'chemotherapy'), (972, 1008, 'SURGICAL', 'autologous stem cell transplantation'), (1056, 1068, 'OTHER', 'chemotherapy'), (1090, 1102, 'OTHER', 'chemotherapy'), (1115, 1151, 'SURGICAL', 'autologous stem cell transplantation'), (1156, 1168, 'DRUG', 'isotretinoin'), (1201, 1228, 'CONDITION', 'recurrent high-grade glioma')]","[(50, 98), (123, 135), (140, 171), (214, 226), (232, 258), (260, 264), (301, 313), (323, 334), (336, 344), (350, 359), (392, 397), (457, 469), (475, 511), (557, 569), (590, 595), (603, 615), (661, 667), (706, 718), (724, 760), (777, 789), (820, 847), (913, 925), (947, 959), (972, 1008), (1056, 1068), (1090, 1102), (1115, 1151), (1156, 1168), (1201, 1228)]","[(50, 98, 'CONDITION'), (392, 397, 'CONDITION'), (590, 595, 'CONDITION'), (661, 667, 'CONDITION'), (820, 847, 'CONDITION'), (1201, 1228, 'CONDITION')]","[(123, 135, 'OTHER'), (140, 171, 'SURGICAL'), (214, 226, 'OTHER'), (232, 258, 'SURGICAL'), (260, 264, 'SURGICAL'), (301, 313, 'OTHER'), (323, 334, 'DRUG'), (336, 344, 'DRUG'), (350, 359, 'DRUG'), (457, 469, 'OTHER'), (475, 511, 'SURGICAL'), (557, 569, 'OTHER'), (603, 615, 'DRUG'), (706, 718, 'OTHER'), (724, 760, 'SURGICAL'), (777, 789, 'DRUG'), (913, 925, 'OTHER'), (947, 959, 'OTHER'), (972, 1008, 'SURGICAL'), (1056, 1068, 'OTHER'), (1090, 1102, 'OTHER'), (1115, 1151, 'SURGICAL'), (1156, 1168, 'DRUG')]"
3,NCT00238264,OfficialTitle+BriefSummary,"A Phase II Study of Conformal Radiotherapy In Patients With Low-Grade Gliomas | RATIONALE: Specialized radiation therapy that delivers radiation directly to the tumor may kill more tumor cells and cause less damage to normal tissue.

PURPOSE: This phase II trial is studying how well radiation therapy works in treating young patients with gliomas.","[(20, 42, 'RADIOTHERAPY', 'Conformal Radiotherapy'), (60, 77, 'CONDITION', 'Low-Grade Gliomas'), (103, 120, 'RADIOTHERAPY', 'radiation therapy'), (181, 186, 'CONDITION', 'tumor'), (284, 301, 'RADIOTHERAPY', 'radiation therapy'), (340, 347, 'CONDITION', 'gliomas')]","[(20, 42), (60, 77), (103, 120), (181, 186), (284, 301), (340, 347)]","[(60, 77, 'CONDITION'), (181, 186, 'CONDITION'), (340, 347, 'CONDITION')]","[(20, 42, 'RADIOTHERAPY'), (103, 120, 'RADIOTHERAPY'), (284, 301, 'RADIOTHERAPY')]"
4,NCT00283738,OfficialTitle+BriefSummary,"A Prospective, Multi-Center, Double-Blinded, Placebo-Controlled Trial to Evaluate the Effectiveness of Patent Foramen Ovale Closure With the BioSTAR Septal Repair Implant to Reduce Refractory Migraine Headache With Aura. | The objective of the study is to investigate the safety and effectiveness of PFO closure with the BioSTAR Septal Repair Implant System in a population of patients that have refractory migraine (with aura) and who have failed medications.","[(45, 52, 'CONTROL', 'Placebo'), (103, 131, 'SURGICAL', 'Patent Foramen Ovale Closure'), (141, 170, 'SURGICAL', 'BioSTAR Septal Repair Implant'), (181, 219, 'CONDITION', 'Refractory Migraine Headache With Aura'), (300, 311, 'SURGICAL', 'PFO closure'), (321, 350, 'SURGICAL', 'BioSTAR Septal Repair Implant'), (396, 415, 'CONDITION', 'refractory migraine'), (422, 426, 'CONDITION', 'aura')]","[(45, 52), (103, 131), (141, 170), (181, 219), (300, 311), (321, 350), (396, 415), (422, 426)]","[(181, 219, 'CONDITION'), (396, 415, 'CONDITION'), (422, 426, 'CONDITION')]","[(45, 52, 'CONTROL'), (103, 131, 'SURGICAL'), (141, 170, 'SURGICAL'), (300, 311, 'SURGICAL'), (321, 350, 'SURGICAL')]"
5,NCT00298532,OfficialTitle+BriefSummary,The Ontario Prehospital Advanced Life Support (OPALS) Study for Critically Ill and Injured Pediatric Patients | The OPALS Pediatric Study will examine the incremental impact of introducing a prehospital full advanced life support in pediatric patients.,"[(64, 78, 'CONDITION', 'Critically Ill'), (191, 229, 'OTHER', 'prehospital full advanced life support')]","[(64, 78), (191, 229)]","[(64, 78, 'CONDITION')]","[(191, 229, 'OTHER')]"
6,NCT00316563,OfficialTitle+BriefSummary,"A Double-blind, Randomized, Placebo Controlled Clinical Trial to Evaluate the Efficacy of Orexigenic Therapy With Delta-9-tetrahydrocannabinol in Advanced Cancer Patients With Chemosensory Abnormalities - a Pilot Study | To investigate delta-9-tetrahydrocannabinol's (THC) ability to increase food intake and improve food enjoyment for advanced cancer patients with taste and/or smell (chemosensory) abnormalities.","[(28, 35, 'CONTROL', 'Placebo'), (90, 108, 'OTHER', 'Orexigenic Therapy'), (114, 142, 'DRUG', 'Delta-9-tetrahydrocannabinol'), (146, 161, 'CONDITION', 'Advanced Cancer'), (176, 202, 'CONDITION', 'Chemosensory Abnormalities'), (236, 264, 'DRUG', 'delta-9-tetrahydrocannabinol'), (268, 271, 'DRUG', 'THC'), (336, 351, 'CONDITION', 'advanced cancer'), (366, 413, 'CONDITION', 'taste and/or smell (chemosensory) abnormalities')]","[(28, 35), (90, 108), (114, 142), (146, 161), (176, 202), (236, 264), (268, 271), (336, 351), (366, 413)]","[(146, 161, 'CONDITION'), (176, 202, 'CONDITION'), (336, 351, 'CONDITION'), (366, 413, 'CONDITION')]","[(28, 35, 'CONTROL'), (90, 108, 'OTHER'), (114, 142, 'DRUG'), (236, 264, 'DRUG'), (268, 271, 'DRUG')]"
7,NCT00360789,OfficialTitle+BriefSummary,The Effects of Standardized Physical Therapy and Functional Strength Training on Upper Limb Function and Neuromuscular Weakness After Stroke: a Pilot Study | The purpose of this study is to test the hypothesis that adding functional strength training to UK conventional therapy improves muscle function and walking than either UK conventional therapy alone or increased intensity of UK conventional therapy.,"[(15, 44, 'PHYSICAL', 'Standardized Physical Therapy'), (49, 77, 'PHYSICAL', 'Functional Strength Training'), (134, 140, 'CONDITION', 'Stroke'), (222, 250, 'PHYSICAL', 'functional strength training'), (257, 277, 'PHYSICAL', 'conventional therapy'), (330, 356, 'CONTROL', 'conventional therapy alone'), (360, 406, 'CONTROL', 'increased intensity of UK conventional therapy')]","[(15, 44), (49, 77), (134, 140), (222, 250), (257, 277), (330, 356), (360, 406)]","[(134, 140, 'CONDITION')]","[(15, 44, 'PHYSICAL'), (49, 77, 'PHYSICAL'), (222, 250, 'PHYSICAL'), (257, 277, 'PHYSICAL'), (330, 356, 'CONTROL'), (360, 406, 'CONTROL')]"
8,NCT00437372,OfficialTitle+BriefSummary,"A Phase IB, Open-Label, Safety Study of the Combination of Sunitinib and Radiation for the Treatment of Patients With Cancer | This study is using the combination of radiation and antiangiogenic agents (agents that destroy existing blood vessels) seems to be an approach to tumor cure.","[(59, 68, 'DRUG', 'Sunitinib'), (73, 82, 'RADIOTHERAPY', 'Radiation'), (118, 124, 'CONDITION', 'Cancer'), (166, 175, 'RADIOTHERAPY', 'radiation'), (274, 279, 'CONDITION', 'tumor')]","[(59, 68), (73, 82), (118, 124), (166, 175), (274, 279)]","[(118, 124, 'CONDITION'), (274, 279, 'CONDITION')]","[(59, 68, 'DRUG'), (73, 82, 'RADIOTHERAPY'), (166, 175, 'RADIOTHERAPY')]"
9,NCT00444067,OfficialTitle+BriefSummary,"A Prospective, Multi-Center, Randomized Controlled Study to Compare the Spinal Sealant System as an Adjunct to Sutured Dural Repair With Standard of Care Methods During Spinal Surgery | To evaluate a spinal sealant as an adjunct to sutured dural repair compared to standard of care techniques.","[(72, 93, 'SURGICAL', 'Spinal Sealant System'), (111, 131, 'SURGICAL', 'Sutured Dural Repair'), (169, 183, 'CONDITION', 'Spinal Surgery'), (200, 214, 'SURGICAL', 'spinal sealant'), (232, 252, 'SURGICAL', 'sutured dural repair'), (265, 281, 'CONTROL', 'standard of care')]","[(72, 93), (111, 131), (169, 183), (200, 214), (232, 252), (265, 281)]","[(169, 183, 'CONDITION')]","[(72, 93, 'SURGICAL'), (111, 131, 'SURGICAL'), (200, 214, 'SURGICAL'), (232, 252, 'SURGICAL'), (265, 281, 'CONTROL')]"
