entity_token,frequency,entity_class
placebo,163,CONTROL
stroke,111,CONDITION
parkinson's disease,83,CONDITION
pd,79,CONDITION
schizophrenia,68,CONDITION
pain,61,CONDITION
ms,48,CONDITION
multiple sclerosis,47,CONDITION
alzheimer's disease,43,CONDITION
sci,39,CONDITION
dementia,38,CONDITION
epilepsy,35,CONDITION
tdcs,34,OTHER
migraine,32,CONDITION
depression,28,CONDITION
osa,28,CONDITION
fibromyalgia,28,CONDITION
spinal cord injury,26,CONDITION
obstructive sleep apnea,25,CONDITION
anxiety,23,CONDITION
ad,23,CONDITION
mild cognitive impairment,20,CONDITION
transcranial direct current stimulation,20,OTHER
carpal tunnel syndrome,19,CONDITION
tumor,18,CONDITION
delirium,18,CONDITION
cerebral palsy,18,CONDITION
cts,17,CONDITION
fatigue,16,CONDITION
tbi,16,CONDITION
aripiprazole,16,DRUG
exercise,16,CONTROL
spasticity,15,CONDITION
rbd,15,CONDITION
dexmedetomidine,14,DRUG
cancer,14,CONDITION
id,14,CONDITION
cpap,13,OTHER
traumatic brain injury,13,CONDITION
ci,13,DRUG
parkinson disease,12,CONDITION
chronic stroke,12,CONDITION
vitamin d,12,DRUG
levodopa,12,DRUG
tinnitus,12,CONDITION
dysphagia,11,CONDITION
nicotine,11,DRUG
insulin,11,DRUG
post-stroke,11,CONDITION
rtms,11,OTHER
parkinson's,10,CONDITION
seizures,10,CONDITION
donepezil,10,DRUG
sdb,10,CONDITION
neuropathic pain,10,CONDITION
acute ischemic stroke,10,CONDITION
ataxia,10,CONDITION
pbm,10,OTHER
tms,10,OTHER
mci,9,CONDITION
duchenne muscular dystrophy,9,CONDITION
freezing of gait,9,CONDITION
saline,9,DRUG
seizure,9,CONDITION
pregnancy,9,CONDITION
arp,9,BEHAVIOURAL
cfs,9,CONDITION
neuromuscular electrical stimulation,9,OTHER
chronic pain,9,CONDITION
risperidone,9,DRUG
sleep apnea,9,CONDITION
pws,9,CONDITION
at,9,PHYSICAL
improvment,9,PHYSICAL
schizophrenic,8,CONDITION
cab,8,DRUG
rpv,8,DRUG
control,8,CONTROL
alzheimer disease,8,CONDITION
sarcopenia,8,CONDITION
lenalidomide,8,DRUG
fragile x syndrome,8,CONDITION
cardiovascular disease,8,CONDITION
dcs,8,DRUG
severe brain injury,8,CONDITION
osas,8,CONDITION
fampridine,8,DRUG
itpr,8,OTHER
cp,8,CONDITION
fentanyl,8,DRUG
exenatide,7,DRUG
diabetes,7,CONDITION
als,7,CONDITION
dmd,7,CONDITION
rivastigmine,7,DRUG
insomnia,7,CONDITION
hearing loss,7,CONDITION
whole body vibration,7,OTHER
eating disorders,7,CONDITION
icu,7,CONDITION
amantadine,7,DRUG
post stroke,7,CONDITION
usual care,7,CONTROL
physical exercise,7,PHYSICAL
virtual reality,7,OTHER
fabry disease,7,CONDITION
continuous positive airway pressure,7,OTHER
dbs,7,CONDITION
prader-willi syndrome,7,CONDITION
cannabis,7,OTHER
svd,7,CONDITION
d-cycloserine,7,DRUG
nivolumab,7,DRUG
tak-079,7,DRUG
lidocaine,7,DRUG
mild to moderate alzheimer's disease,7,CONDITION
metabolic syndrome,7,CONDITION
topiramate,7,DRUG
covid-19,7,CONDITION
morphine,7,DRUG
aerobic training,7,PHYSICAL
avh,7,CONDITION
menacyw conjugate vaccine,7,DRUG
ro7034067,7,DRUG
alpelisib,7,DRUG
trametinib,7,DRUG
postherpetic neuralgia,6,CONDITION
rrms,6,CONDITION
spastic cerebral palsy,6,CONDITION
mst,6,CONTROL
rls,6,CONDITION
nocturia,6,CONDITION
physical activity,6,PHYSICAL
bpsd,6,CONDITION
af,6,CONDITION
hiv,6,CONDITION
sham,6,CONTROL
amyotrophic lateral sclerosis,6,CONDITION
neurofibromatosis type 1,6,CONDITION
acquired brain injury,6,CONDITION
deep brain stimulation,6,CONDITION
ischemic stroke,6,CONDITION
restless legs syndrome,6,CONDITION
cognitive rehabilitation,6,OTHER
blinatumomab,6,DRUG
car t cells,6,SURGICAL
metformin,6,DRUG
pots,6,CONDITION
nitric oxide,6,DRUG
eliglustat tartrate,6,DRUG
carepath,6,OTHER
physiotherapy,6,PHYSICAL
lamotrigine,6,DRUG
exendin-4,6,DRUG
genz-112638,6,DRUG
fes-rt,6,PHYSICAL
menactra,6,DRUG
melatonin,6,DRUG
sbrt,6,RADIOTHERAPY
mse,6,OTHER
cea,5,CONDITION
hypertension,5,CONDITION
hiv-1,5,CONDITION
abc,5,DRUG
dtg/3tc,5,DRUG
hypothermia,5,OTHER
severe traumatic brain injury,5,CONDITION
ect,5,CONTROL
postmenopausal,5,CONDITION
myozyme,5,DRUG
rtl1000,5,DRUG
down syndrome,5,CONDITION
home program,5,PHYSICAL
neurotropin,5,DRUG
corticosteroid,5,DRUG
dextrose,5,DRUG
propofol,5,DRUG
midazolam,5,DRUG
atrial fibrillation,5,CONDITION
fms,5,PHYSICAL
bupropion,5,DRUG
cf,5,CONDITION
fm,5,CONDITION
psilocybin,5,DRUG
subacute stroke,5,CONDITION
electrical stimulation,5,OTHER
nmes,5,OTHER
aerobic dance training,5,PHYSICAL
behavior therapy,5,BEHAVIOURAL
relapsing-remitting multiple sclerosis,5,CONDITION
bg00012,5,DRUG
cooling,5,OTHER
dex,5,DRUG
antipsychotic,5,DRUG
mstep,5,PHYSICAL
motor imagery,5,OTHER
rehabilitation therapy,5,PHYSICAL
alteplase,5,DRUG
minor stroke,5,CONDITION
aspirin,5,DRUG
biib074,5,DRUG
uc,5,CONTROL
valganciclovir,5,DRUG
botulinum toxin type a,5,DRUG
botulinum toxin,5,DRUG
mk-8931,5,DRUG
modafinil,5,DRUG
frailty,5,CONDITION
ads-mr,5,CONDITION
ataluren,5,DRUG
cogane,5,DRUG
vr,5,OTHER
anhedonia,5,CONDITION
caffeine,5,DRUG
rotigotine,5,DRUG
sunbrite,5,BEHAVIOURAL
shatavari,5,OTHER
lorazepam,5,DRUG
risdiplam,5,DRUG
hyperacusis,5,CONDITION
rtt,5,CONDITION
liver resection,5,CONDITION
mt,5,OTHER
nabilone,4,DRUG
glatiramer acetate,4,DRUG
ropinirole,4,DRUG
acute stroke,4,CONDITION
electroconvulsive therapy,4,CONDITION
ds,4,CONDITION
pramipexole,4,DRUG
imt,4,PHYSICAL
npc-14,4,DRUG
fus,4,OTHER
mechanical ventilation,4,OTHER
pregabalin,4,DRUG
post-liver transplant,4,CONDITION
hearing impaired,4,CONDITION
plie,4,PHYSICAL
central obesity,4,CONDITION
acupuncture,4,OTHER
bg00010,4,DRUG
oxytocin,4,DRUG
friedreich's ataxia,4,CONDITION
chronic fatigue syndrome,4,CONDITION
sodium thiosulfate,4,DRUG
cognitive deficits,4,CONDITION
diabetic peripheral neuropathy,4,CONDITION
lacosamide,4,DRUG
ixiaro,4,DRUG
mbjev,4,DRUG
peripheral neuropathy,4,CONDITION
an,4,CONDITION
lipoic acid,4,DRUG
fog,4,CONDITION
msa,4,CONDITION
sibutramine,4,DRUG
headache,4,CONDITION
repetitive transcranial magnetic stimulation,4,OTHER
bcaas,4,DRUG
obesity,4,CONDITION
oral appliance,4,OTHER
aphasia,4,CONDITION
diabetic neuropathy,4,CONDITION
phototherapy,4,OTHER
intracerebral hemorrhage,4,CONDITION
excessive daytime sleepiness,4,CONDITION
narcolepsy,4,CONDITION
oral appliances,4,OTHER
xp13512,4,DRUG
mild dementia,4,CONDITION
desflurane,4,DRUG
acromegaly,4,CONDITION
pasireotide,4,DRUG
fremanezumab,4,DRUG
hd,4,CONDITION
generalized myasthenia gravis,4,CONDITION
alzheimer,4,CONDITION
brain injury,4,CONDITION
pid,4,OTHER
p1g10,4,DRUG
general guideline,4,CONTROL
ultrasound,4,OTHER
inositol,4,DRUG
aat,4,OTHER
clopidogrel,4,DRUG
acetazolamide,4,DRUG
prone positioning,4,OTHER
esml-social,4,OTHER
esml-ex,4,OTHER
post-operative pain,4,CONDITION
ziprazidone,4,DRUG
dronabinol,4,DRUG
sleepiness,4,CONDITION
arterial hypotension,4,CONDITION
sudep,4,CONDITION
hirrem,4,OTHER
spt,4,PHYSICAL
chemotherapy,4,DRUG
action observation therapy,4,BEHAVIOURAL
bulimia nervosa,4,CONDITION
cbt-rr,4,BEHAVIOURAL
reading disorder,4,CONDITION
bell's palsy,4,CONDITION
early-stage alzheimer's disease,4,CONDITION
gv1001,4,DRUG
immersive virtual reality,4,OTHER
chronic shoulder pain,4,CONDITION
vri,4,CONTROL
asp6981,4,DRUG
amblyopia,4,CONDITION
rett syndrome,4,CONDITION
aab-003,4,DRUG
conventional motor training,4,CONTROL
ragt,4,PHYSICAL
acute sci,4,CONDITION
myofascial relaxation techniques,4,OTHER
rtg,4,DRUG
emergence delirium,4,CONDITION
clinical pharmacy specialists,4,OTHER
epa,4,DRUG
hmb,4,DRUG
erector spinae plane block,4,OTHER
espb,4,OTHER
ataxia-telangiectasia,4,CONDITION
a-t,4,CONDITION
c-mill training,4,PHYSICAL
quetiapine fumarate,4,DRUG
dsp,4,CONDITION
pd-pigd,4,CONDITION
pids,4,CONDITION
tap block,4,OTHER
scc,4,CONDITION
sam-531,3,DRUG
acute episode,3,CONDITION
amisulpride,3,DRUG
neuromyelitis optica,3,CONDITION
zolpidem,3,DRUG
idd,3,CONDITION
emergence agitation,3,CONDITION
estriol,3,DRUG
hemiplegic,3,CONDITION
shoulder pain,3,CONDITION
