entity_token,frequency,entity_class
placebo,170,CONTROL
stroke,121,CONDITION
parkinson's disease,99,CONDITION
pd,88,CONDITION
pain,78,CONDITION
schizophrenia,70,CONDITION
multiple sclerosis,47,CONDITION
alzheimer's disease,43,CONDITION
dementia,42,CONDITION
fibromyalgia,42,CONDITION
ms,41,CONDITION
epilepsy,41,CONDITION
obstructive sleep apnea,31,CONDITION
anxiety,29,CONDITION
osa,29,CONDITION
tdcs,29,OTHER
cpap,27,OTHER
migraine,26,CONDITION
ad,25,CONDITION
tumor,24,CONDITION
sci,23,CONDITION
depression,22,CONDITION
carpal tunnel syndrome,21,CONDITION
spinal cord injury,21,CONDITION
exercise,21,PHYSICAL
acupuncture,20,OTHER
melatonin,19,DRUG
mild cognitive impairment,18,CONDITION
cerebral palsy,18,CONDITION
delirium,18,CONDITION
risperidone,17,DRUG
aripiprazole,17,DRUG
fatigue,15,CONDITION
tbi,15,CONDITION
osas,15,CONDITION
spasticity,15,CONDITION
sleep apnea,15,CONDITION
ttm,15,OTHER
rbd,15,CONDITION
vret,15,OTHER
traumatic brain injury,14,CONDITION
dysphagia,14,CONDITION
transcranial direct current stimulation,14,OTHER
chemotherapy,14,DRUG
hd,13,CONDITION
sdb,13,CONDITION
cancer,13,CONDITION
neuropathic pain,13,CONDITION
parkinson disease,13,CONDITION
levodopa,13,DRUG
continuous positive airway pressure,12,OTHER
sham,12,CONTROL
seizures,12,CONDITION
vitamin d,12,DRUG
mci,11,CONDITION
dbs,11,OTHER
neuromuscular electrical stimulation,11,OTHER
chronic stroke,11,CONDITION
topiramate,11,DRUG
freezing of gait,11,CONDITION
parkinson's,11,CONDITION
fms,11,PHYSICAL
dmd,11,CONDITION
dexmedetomidine,10,DRUG
schizophrenic,10,CONDITION
shoulder pain,10,CONDITION
ataxia,10,CONDITION
fog,10,CONDITION
chronic pain,10,CONDITION
cts,10,CONDITION
tms,10,OTHER
midazolam,10,DRUG
cerebral edema,10,CONDITION
donepezil,10,DRUG
tth,10,CONDITION
pbm,10,OTHER
deep brain stimulation,9,OTHER
acquired brain injury,9,CONDITION
obstructive sleep apnea syndrome,9,CONDITION
methylphenidate,9,DRUG
pku,9,CONDITION
alzheimer disease,9,CONDITION
cp,9,CONDITION
tinnitus,9,CONDITION
als,9,CONDITION
bupivacaine,9,DRUG
csvd,9,CONDITION
covid-19,9,CONDITION
emergence delirium,9,CONDITION
severe traumatic brain injury,8,CONDITION
seizure,8,CONDITION
re,8,CONDITION
cab,8,DRUG
rpv,8,DRUG
diabetes,8,CONDITION
repetitive transcranial magnetic stimulation,8,OTHER
rtms,8,OTHER
fragile x syndrome,8,CONDITION
acute ischemic stroke,8,CONDITION
saline,8,CONTROL
fampridine,8,DRUG
lenalidomide,8,DRUG
mi,8,OTHER
whole body vibration,8,OTHER
park visits,8,OTHER
fentanyl,8,DRUG
ischemic stroke,8,CONDITION
itpr,8,OTHER
peripheral neuropathy,7,CONDITION
hemiplegic,7,CONDITION
pept,7,PHYSICAL
metabolic syndrome,7,CONDITION
mitochondrial myopathy,7,CONDITION
icu,7,CONDITION
amyotrophic lateral sclerosis,7,CONDITION
acute stroke,7,CONDITION
cvd,7,CONDITION
morphine,7,DRUG
aerobic exercise,7,PHYSICAL
hearing loss,7,CONDITION
duchenne muscular dystrophy,7,CONDITION
dha,7,DRUG
sevoflurane,7,DRUG
memantine,7,DRUG
headache,7,CONDITION
sarcopenia,7,CONDITION
mild to moderate alzheimer's disease,7,CONDITION
rivastigmine,7,DRUG
avh,7,CONDITION
tak-079,7,DRUG
menacyw conjugate vaccine,7,DRUG
ci,7,DRUG
alpelisib,7,DRUG
trametinib,7,DRUG
ro7034067,7,DRUG
hypertension,6,CONDITION
at,6,CONDITION
rrms,6,CONDITION
cannabis,6,OTHER
cardiovascular disease,6,CONDITION
cognitive rehabilitation,6,OTHER
emergence agitation,6,CONDITION
levetiracetam,6,DRUG
