"nct_id","conditions","intervention_types","intervention_names"
NCT00000146,Multiple Sclerosis|Optic Neuritis,Drug,Methylprednisolone|Prednisone
NCT00001785,HTLV-I Infection|Spinal Cord Disease|Tropical Spastic Paraparesis,Drug,Recombinant human interferon beta-1a
NCT00029146,"Cerebral Infarction|Ischemic Attack, Transient|Stroke",Drug|Procedure,best medical therapy|extracranial-intracranial bypass surgery
NCT00035815,Amyotrophic Lateral Sclerosis,Drug,"Insulin like growth factor, type 1|Placebo"
NCT00041717,Muscle Spasticity|Spinal Cord Injury,Drug|Other,Fampridine-SR|Placebo
NCT00053937,Neurofibromatosis Type 1|Precancerous Condition,Drug,pirfenidone
NCT00069550,Rett Syndrome,Drug,dextromethorphan|donepezil hydrochloride
NCT00081497,Fabry Disease,Biological,agalsidase beta
NCT00099528,Neuralgia|Peripheral Nervous System Disease|Shingles,Drug,REN-1654
NCT00101933,Epilepsy,Device,Medtronic DBS Therapy for epilepsy
NCT00105638,Alzheimer Disease|Dementia,Behavioral,"educational program, by telephone"
NCT00112398,"Head Injuries, Closed",Procedure,Extended interventions by advanced level prehospital providers
NCT00120588,Brain Ischemia|Intracranial Hemorrhages|Periventricular Leukomalacia|Preterm Birth,Drug,magnesium
NCT00130923,Alcohol Abuse|Psychotic Disorders|Schizophrenia|Substance Abuse,Drug,Risperidone Long Acting|oral risperidone
NCT00135993,Restless Legs Syndrome,Drug,Rotigotine
NCT00142324,Alzheimer's Disease,Drug,Donepezil
NCT00163878,Traumatic Brain Injury,Device|Procedure,Sensory Stimulation|Sesnory Modality Assessment and Rehabilitation Technique
NCT00164658,Breast Cancer|Colorectal Cancer|Coronary Heart Disease|Diabetes|Ovarian Cancer|Stroke,Behavioral,Familial risk assessment and personalized prevention messages
NCT00171886,Acromegaly,Drug,Octreotide
NCT00197509,Cerebrovascular Accident,Behavioral,Sit-To-Stand Protocol and Extra Practice in Sit-To-Stand
NCT00210912,Migraine,Drug,topiramate
NCT00216502,Alzheimer Disease|Brain Diseases|Dementia|Mental Disorders,Drug,galantamine hydrobromide
NCT00217763,Alzheimer's Disease,Drug,"3APS"
NCT00221767,Neurogenic Bladder Disorder|Paraplegia|Quadriplegia|Spinal Cord Injuries,Device,Brindley technique (bladder system)
NCT00230698,"Epilepsies, Partial|Epilepsy|Seizures",Drug,topiramate
NCT00233922,Orbital Fractures|Orbital Trauma,Device,Osteosheet(r)
NCT00241670,"Brain Cancer|Brain Tumor, Primary|Brain Tumors|Cancer of Brain|Primary Brain Tumors",Drug,"5-aminolevulinic acid (5-ALA)"
NCT00245674,Schizophrenia,Drug,amisulpride
NCT00247533,Arrhythmia|Coronary Artery Disease|Stroke,Procedure,Digital subtraction angiography and 24-hour simultaneous recorder of electrocardiograph
NCT00248807,Orthostatic Hypotension|Spinal Cord Injuries,Drug|Other,"1.25 mg enalaprilat IV|Head up tilt (HUT)"
NCT00252850,Parkinson's Disease,Genetic,CERE-120: AAV2-NTN
NCT00253136,Psychotic Disorders|Schizophrenia,Drug,risperidone
NCT00257842,Dyssynergia,Procedure,"Standard treatment, sham feedback and biofeedback therapy"
NCT00261508,"Asperger Syndrome|Autistic Disorder|DCild Development Disorders, Pervasive|Developmental Disabilities|Rett Syndrome",Drug,risperidone
NCT00271596,Chorea|Executive Dysfunction|Huntington Disease,Drug,"20mg daily citalopram|Placebo"
NCT00275275,Parkinson Disease,Drug,Mirapex|Requip PR
NCT00285402,Migraine|Migraine Disorders|Migraine Headache|Migraine With Aura|Migraine Without Aura,Drug,AST-726 High dose|AST-726 Low dose|AST-726 Placebo
NCT00291148,Multiple Sclerosis|Neuropathic Pain,Drug,paroxetine|pregabalin
NCT00295139,Mood Disorders|Schizophrenia|Substance Dependence,Behavioral,Behavioral Treatment for Substance Abuse in SPMI (BTSAS)|Critical Time Intervention (CTI)|Supportive Treatment in Addiction Recovery (STAR)
NCT00298623,Restless Legs Syndrome,Drug|Other,XP13512 (GSK1838262)|placebo
NCT00299702,Psychotic Disorders|Schizophrenia,Drug,Abilify|Risperidal Consta
NCT00300222,Herpes Zoster|Neuralgia|Pain|Peripheral Nervous System Diseases|Shingles,Drug,NGX-4010
NCT00304291,"Autoimmune Diseases of the Nervous System|Demyelinating Autoimmune Diseases, CNS|Myelitis, Transverse|Neuromyelitis Optica",Drug,Mitoxantrone
NCT00314041,"Meningitis, Meningococcal",Biological,DTP/Hib|Meningococcal C
NCT00315250,Parkinson's Disease|Parkinsonian Syndrome,Drug,[123I]β-CIT
NCT00322426,Parkinson's Disease,Device,Sensory Cueing Device
NCT00330863,Schizoaffective Disorder|Schizophrenia,Drug,Aripiprazole|Olanzapine|Paliperidone|Quetiapine|Risperidone|Risperidone microspheres|Ziprasidone
NCT00351299,Agitation|Delirium,Drug|Other,Dexmedetomidine|Standard of Care
NCT00359944,Alzheimer's Disease,Drug|Other,AC-3933|Sugar Pill
NCT00361205,Parkinson's Disease,Device,Electronic Monitoring cap
NCT00363753,Aspirin|Clopidogrel|Stroke|Transient Ischemic Attack,Drug,aspirin versus clopidogrel
NCT00370838,Tic Disorders|Tourette Syndrome,Drug,Clonidine|Levetiracetam
NCT00373087,Parkinson's Disease,Drug,entacapone|l dopa versus placebo
NCT00422994,Restless Legs Syndrome,Drug,ropinirole dosing for up to 28 days
NCT00423943,Schizoaffective Disorder|Schizophrenia,Drug,Placebos|modafinil
NCT00433667,"Complex Partial Seizures|Epilepsy|Epilepsy, Complex Partial|Epilepsy, Focal|Seizure Disorder",Drug,RWJ-333369
NCT00440323,Sleep Initiation and Maintenance Disorders,Drug,Placebo|SB-649868|Zolpidem
NCT00455507,Parkinson's Disease,Drug,Istradefylline|Placebo
NCT00466323,Major Depression|Schizoaffective Disorder|Schizophrenia,Behavioral,Enhanced treatment as usual (e-TAU)|Family Member Provider Outreach
NCT00469664,Cognitive Impairment|Schizoaffective Disorder|Schizophrenia,Drug,Guanfacine/Tenex
NCT00498849,"Sleep Apnea, Obstructive",Device,CPAP
NCT00499200,Alzheimer's Disease,Drug,SRA-444
NCT00505167,"Dementia, Alzheimer Type",Drug,Donepezil|Memantine
NCT00527579,Healthy|Neurocysticercosis,Drug,[F-18]FBR
NCT00603265,Neuropathic Pain|Peripheral Neuropathy,Drug,ADL5859|Duloxetine|Placebo
NCT00605930,Progressive Supranuclear Palsy,Dietary Supplement,"Placebo|Pyruvate, creatine, niacinamide"
NCT00607893,Cardiovascular Diseases|Oxidative Stress|Sleep Apnea Syndromes,Device,Continuous Positive Airway Pressure (CPAP)|Sham CPAP
NCT00626912,Intracranial Aneurysm|Subarachnoid Hemorrhage,Procedure,endovascular coil embolization
NCT00632736,Parkinson Disease|Parkinson's Disease,Drug,Ropinirole XL (formerly CR)
NCT00640965,Migraine,Drug,DP-VPA|DP-VPA Placebo
NCT00642369,Schizophrenia,Drug,haloperidol|quetiapine fumarate
NCT00649207,Brain Diseases|Brain Neoplasms|Central Nervous System Diseases|Neoplasm Metastasis|Nervous System Neoplasms,Drug|Radiation,ABT-888|Whole Brain Radiation Therapy
NCT00680303,Stuttering,Behavioral,The Lidcombe Program for early stuttering
NCT00682838,Sleep Apnea Syndromes,Behavioral,Self-management|Telemonitored care
NCT00701701,Glycogen Storage Disease Type II (GSD-II)|Glycogenesis 2 Acid Maltase Deficiency|Pompe Disease,Biological,Myozyme® (alglucosidase alfa)
NCT00714571,Alzheimer's Disease|Mild Cognitive Impairment|Traumatic Brain Injury,Behavioral,Mnemonic strategy training (MST)|Repeated exposure (XP)|Subtracting Cues training
NCT00716976,Brain Tumor|Central Nervous System Tumor|Childhood Germ Cell Tumor|Extragonadal Germ Cell Tumor|Liver Cancer|Neuroblastoma|Ototoxicity|Ovarian Cancer|Sarcoma,Drug|Procedure,examination|sodium thiosulfate
NCT00723983,Migraine Disorders,Drug,NP101 Study Patch|Sumatriptan succinate
NCT00755521,Fibromyalgia,Drug,etoricoxib
NCT00778323,Cervical Compression Myelopathy|Ischemia|Reperfusion Injury|Spinal Cord Injury,Procedure,limb remote ischemic preconditioning (LRIPC)
NCT00793520,Fibromyalgia,Drug,Milnacipran|Placebo
NCT00809679,Postherpetic Neuralgia,Drug|Other,Placebo|T-62 Dose 1|T-62 Dose 2
NCT00818428,Developmental Articulation Disorder|Dyslexia|Phonological Impairment|Speech Articulation Disorder,Behavioral,Articulation Parent Group|Dialogic Reading Parent Group|Speech Perception Intervention|Speech Production Intervention
NCT00821691,Cerebral Infarction,Drug,Amantadin|Placebo
NCT00822198,Peripheral Neuropathy,Device,plantar vibration
NCT00824590,Alzheimer's Disease|Huntington's Disease,Drug,Dimebon
NCT00828958,Schizophrenia,Drug,Risperidone long-acting injectable
NCT00842816,Alzheimer's Disease,Drug,Placebo|ST101
NCT00850421,Migraine Headache,Drug,Botulinum Toxin Type A
NCT00856661,Stroke,Drug,Desmoteplase|Placebo
NCT00880165,Obstructive Sleep Apnea,Device,Continuous positive airway pressure apparatus
NCT00909012,Phenylketonuria,Dietary Supplement,high oleic sunflower oil|microalgal oil
NCT00911261,Cancer|Chronic Pain|Neuropathic Pain,Drug,Oxymorphone Extended Release
NCT00976040,Cryptococcal Meningitis|HIV Infections,Other,Early antiretroviral therapy
NCT00989456,Chronic Obstructive Pulmonary Disease|Heart Failure|Stroke,Behavioral,Self management education programme|exercise only
NCT00990093,Spinal Cord Injuries,Device,Intermittent catheterization|test intermittent catheter
NCT00996983,Cancer|Intractable Pain|Neuropathic Pain|Pain,Drug,ziconotide
NCT01021696,Agitation|Dementia|Pain,Drug,Buprenorphine plaster|Morphine|Paracetamol|Pregabalin
NCT01025245,Hyperalgesia,Drug,"remifentanil, MgSO4"
NCT01040429,Chronic Fatigue Syndrome|Myalgic Encephalomyelitis,Drug,Clonidine|Lactose capsula
NCT01044693,Hypertension|Multiple System Atrophy|Pure Autonomic Failure,Drug,Nebivolol 5 mg|Placebo|Sildenafil25 mg|metoprolol tartrate 50 mg
NCT01059877,Dementia,Device,"1072nm infrared Photobiomodulation|Photobiomodulation SIMULATED"
NCT01074944,Gaucher Disease,Drug,Eliglustat tartrate
NCT01104792,Schizophrenia,Drug,Cariprazine
NCT01156311,Multiple Sclerosis|Relapsing-Remitting Multiple Sclerosis,Drug,dimethyl fumarate
NCT01182441,Atrial Fibrillation|Stroke,Device|Drug,WATCHMAN Device|Warfarin
NCT01205607,Traumatic Brain Injury,Device,ITPR -5 mm Hg then -9 mm Hg|ITPR -9 & then -5mm Hg
NCT01205906,Tinnitus,Behavioral|Other,Cognitive-behavior group therapy for tinnitus|Internet discussion forum|Internet-based guided self-help for tinnitus
NCT01225614,Muscular Weakness|Myopathy|Respiratory Insufficiency,Device,Bilevel pressure ventilator
NCT01237587,Fibromyalgia,Drug,Duloxetine|Placebo
NCT01244269,Parkinson's Disease,Drug,Methylphenidate|Placebo 10|Placebo 20
NCT01255163,Alzheimer's Disease|Mild Cognitive Impairment,Drug,Exendin-4 SC|Placebo SC
NCT01259388,Multiple Sclerosis,Drug,Lithium Carbonate
NCT01263392,Neurogenic Bladder|Spina Bifida,Device,Intermittent catheterization
NCT01270516,Muscle Weakness,Drug,"EPA, eicosapentaenoic acid|HMB, hydroxymethylbutyrate|Saline"
NCT01278433,Polio|Poliomyelitis,Biological,IMOVAX Polio™: Inactivated Poliomyelitis Vaccine
NCT01280799,"Anorexia Nervosa|Eating Disorder Not Otherwise Specified, Primarily Restriction|Subthreshold Anorexia Nervosa",Behavioral,Acceptance-based separated family treatment
NCT01283152,Cirrhosis|Hepatic Encephalopathy|PSE|Portosystemic Encephalopathy,Drug,Lactulose|Polyethylene glycol 3350-electrolyte solution (GoLYTELY®)
NCT01283347,Parkinson's Disease,Drug,"18F-DTBZ"
NCT01286935,Parkinson's Disease,Drug,Placebo|Safinamide
NCT01313819,Freezing of Gait|Parkinson's Disease,Drug,"PK-Merz® 200mg/500ml inj(Amantadine) , Normal saline 500ml inj"
NCT01344447,Carotid Stenosis,Drug,"Gadobutrol (Gadovist, BAY86-4875)"
NCT01369225,Alzheimer's Disease,Drug,AAB-003 (PF-05236812)
NCT01386827,Japanese Encephalitis,Biological,C) primary immunizations with Ixiaro|Mouse brain derived japanese encephalitis vaccine (MB-JEV)|Primary and booster immunizations with MB-JEV|S) Ixiaro booster to MBJEV primed
NCT01399606,Cataplexy|Narcolepsy,Drug,BF2.649
NCT01404247,Optic Nerve Diseases|Retinal Diseases,Other|Procedure,OCT imaging.|Observational: to better characterize the retina and optic nerve in newborns using spectral domain optical coherence tomography (s-oct).
