"nct_id","start_date","completion_date","phase","official_title","description","condition_name","intervention_type","intervention_name"
NCT00947622,2009-07-31,2009-11-30,Phase 1/Phase 2,Occipital Transcranial Direct Current Stimulation in Fibromyalgia,The aim of this study is to investigate whether transcranial direct current stimulation is effective in the treatment of fibromyalgia related pain. The study provides a placebo arm and the design is a cross-over design.,Fibromyalgia,Device,Transcranial direct current stimulation
NCT03442868,2016-10-19,2018-12-31,Not Applicable,Efficacy of Non-Invasive Brain Stimulation on Dual-Task Walking After Stroke: A Repetitive Transcranial Magnetic Stimulation (rTMS) Study,"The study aims to identify neural locus critical for dual-task walking (walking and talking) in individuals with stroke. To achieve this aim, the investigators apply repetitive transcranial magnetic stimulation (rTMS) to different parts of the brain and evaluate the effects of brain stimulation on dual-task walking speed.",Stroke,Device,high frequency rTMS
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Traumatic Brain Injury,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Insomnia,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Depression,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Post-traumatic Stress,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Sleep,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Memory Impairment,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Cognitive Behavioral Therapy,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).","Concussion, Brain",Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Head Injury,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
NCT05663034,2023-07-31,2026-09-30,Not Applicable,CoMBat Insomnia: A Randomized Controlled Trial of Cognitive-Behavioral vs. Mindfulness-Based Treatment for TBI-Related Insomnia and Post-Traumatic Stress Symptoms,"This study is a prospective two-arm, single blind randomized controlled trial design to compare the clinical effectiveness of telemedicine-delivered, 6-session, standardized cognitive behavioral therapy for insomnia (CBT-I) and mindfulness-based treatment for insomnia (MBTI) in treating insomnia symptoms and ameliorating depressive symptoms in persons with mild to moderate TBI and comorbid Post-Traumatic Stress Symptoms (PTSS) and insomnia symptoms in a 360 patients. Participants will undergo assessment (psychosocial questionnaires, neurocognitive testing, sleep monitoring) at baseline, at the end of treatment, and at 6- and 12-weeks post-treatment. The primary outcome is sleep as measured by the Insomnia Severity Index (ISI).",Brain Injury Traumatic Mild,Behavioral,Mindfulness-based treatment for insomnia (MBTI)
