"nct_id","conditions","intervention_types","intervention_names"
NCT00013338,Spinal Cord Injury,Procedure,Ambulation Training
NCT00018811,Headache|Migraine|Stress Headache|Tension Headache|Vascular Headache,Behavioral,Relaxation training & thermal biofeedback|Surface EMG biofeedback
NCT00069433,Schizophrenia,Procedure,Social skills and symptom management training
NCT00090402,Alzheimer's Disease|Dementia|Hyperlipidemia|Inflammation|Oxidative Stress,Other,Fish Oil Placebo|Lipoic Acid Placebo
NCT00119561,Alzheimer Disease|Dementia,Behavioral,Telephone Support
NCT00134472,"Brain Injuries, Traumatic",Procedure,Therapeutic mild hypothermia
NCT00146952,Hemispatial Neglect|Peripheral Neuropathies|Proprioceptive Disorders|Vestibular Diseases,Device,Vibrotactile feedback
NCT00158067,Epilepsy,Device,external Responsive Neurostimulator (eRNS) System
NCT00169338,Dystonia,Procedure,Deep brain stimulation
NCT00173992,Stroke,Behavioral,Balance and Exercise
NCT00182832,Cognitive Impairment|Delirium,Behavioral,Standard Care|e-CHAMP (Enhancing Care for Hospitalized Older Adults with Cognitive Impairment)
NCT00237757,Stroke,Behavioral,Information feedback
NCT00238264,Brain Tumor|Central Nervous System Tumor,Radiation,radiation therapy
NCT00246896,Alzheimer's Disease|Dementia,Behavioral,care management
NCT00253097,Cerebrovascular Accident|Myocardial Infarction|Transient Ischemic Attack,Behavioral,Intervention
NCT00313716,Anemia|Traumatic Brain Injury,Other,placebo
NCT00331539,Hearing Loss,Device,Cochlear Implant
NCT00359775,"Asthma|Epilepsy|Rheumatologic Conditions (JRA,Lupus)|Spina Bifida",Behavioral,Coping Skills Training
NCT00367068,Cerebral Palsy|Spasticity,Device,"infusion pump for intrathecal baclofen, Synchromed, Medtronic"
NCT00369668,Cerebrovascular Accident|Hemiplegia,Behavioral,Bilateral movements and neuromuscular electrical stimulation|Bilateral movements and sham electrical stimulation
NCT00392119,Brain Cancer|Brain Neoplasms|Brain Tumor|Recurrent Brain Tumor,Device,MR-guided Laser Interstitial Thermal Therapy System
NCT00401973,Schizoaffective Disorders|Schizophrenia,Behavioral,Wellness education
NCT00435071,Carpal Tunnel Syndrome,Procedure,Carpal Tunnel Release Surgery|Carpal tunnel release surgery
NCT00467415,Cerebral Palsy,Behavioral,Exercise|Partial body weight support treadmill training
NCT00472862,Schizophrenia,Behavioral,Cognitive training
NCT00473902,Sarcopenia,Behavioral,Training
NCT00475748,Central Cord Syndrome|Quadriparesis|Spinal Cord Injury,Procedure,Early and late surgery for traumatic central cord syndrome
NCT00486551,ADHD|Chronic Tic Disorder|Oppositional Defiant Disorder|Tourette Syndrome,Behavioral,Anger control training
NCT00506259,"Chromosome Deletion|Developmental Delay Disorders|Mental Retardation|Self Injurious Behavior|Sleep Disorders, Circadian Rhythm",Device,Phototherapy (Bright Light)
NCT00536562,TIA (Transient Ischemic Attack),Behavioral,Comprehensive Cardiac Rehabilitation (CR)
NCT00538369,Brain Injury,Device|Other,Bispectral index monitor|Ramsay Scale
NCT00566709,Intracerebral Hemorrhage|Subarachnoid Hemorrhage|Traumatic Brain Injury,Procedure,Red blood cells transfusion
NCT00567944,Cerebrovascular Accident,Device,BrainPort Balance Device
NCT00573612,Fibromyalgia,Behavioral,Attention Control Counseling|Motivational Interviewing
NCT00591591,Obstructive Sleep Apnea Syndrome,Device,OxiplexTS
NCT00599469,Alzheimer Disease,Radiation,Far Infrared Radiation (5μm to 20μm wavelength)
NCT00599586,Migraine,Other,acupuncture
NCT00618085,Brain Injury|Multiple Sclerosis|Stroke,Behavioral|Other,Motor imagery practice|Standard physiotherapy and occupational therapy
NCT00643864,Stroke,Behavioral,mirror training
NCT00653731,Cognitive Impairment|Dementia,Behavioral,"10-minutes activation|Snoezelen ©|Unstructured verbal communication|structured reminiscence therapy"
NCT00661869,Bipolar Disorder|Schizoaffective Disorder|Schizophrenia,Other,Wellness Program
NCT00684281,Alzheimer's Disease,Other,"Neurological and neuropsychological consultation, MRI|Neurological and neuropsychological consultation, MRI, Studies in imaging of drip, DNA"
NCT00692575,Brain Injuries,Behavioral|Other,"No Intervention|Problem-solving, education based telephone counseling"
NCT00696111,Obstructive Sleep Apnea|Polycystic Ovary Syndrome,Device,CPAP
NCT00716066,Autoimmune Disease|Autoimmune Nervous System Disorder|Autologous Transplant Autoimmune|CIDP Transplant|Central Nervous System Vasculitis|Cerebellar Degeneration|Chronic Inflammatory Demyelinating Polyneuropathy|HCT for Neurologic Autoimmune Disorders|Lambert Eaton Myasthenic Syndrome|MS Stem Cell Transplant|Multiple Sclerosis Stem Cell Transplant|Multiple Sclerosis Transplant|Myasthenia Gravis|Myasthenia Gravis Transplant|Neurologic Autoimmune Disease|Neuromyelitis Optica|Opsoclonus Myoclonus Syndrome|Rasmussen Subacute Encephalitis|Stiff Person Syndrome,Other|Procedure,Autologous Hematopoietic Stem Cell Transplantation|Laboratory Biomarker Analysis|Peripheral Blood Stem Cell Transplantation|Syngeneic Bone Marrow Transplantation
NCT00738179,Cardiovascular Disease|Sleep Apnea,Device|Other,Continuous Positive Airway Pressure (CPAP)|Standard care
NCT00744523,Carotid Artery Disease,Device,Mo.Ma cerebral protection device
NCT00753662,Alzheimer's Disease,Device,"10Hz TMS with H2 coil to prefrontal and parieto-temporal cortex|1Hz TMS with H2 coil|SHAM TMS with H2 coil"
NCT00788970,Schizophrenia,Behavioral,Acupressure adjuvant therapy
NCT00815854,Schizophrenia,Other,Placebo
NCT00815932,Chemotherapy Induced Pain Neuropathy|Complex Regional Pain Syndrome Type II|Diabetic Neuropathies|Resistant Peripheral Neuropathic Pain,Device,TDCS/sham procedure on five consecutive days
NCT00819624,Fibromyalgia,Other,Interactive Voice Response System (IVRS)|Personal Digital Assisstant (PDA)
NCT00827268,"Aphasia|Dyslexia, Acquired|Stroke",Behavioral,One-on-one treatment of reading difficulties
NCT00829361,Brain Diseases|Brain Infarction|Brain Ischemia|Cerebral Infarction|Cerebrovascular Disorders|Stroke|Vascular Diseases,Other,Telemedicine
NCT00833105,Paresis|Plegia|Spinal Cord Injury|Tetraplegia,Device,AMES treatment
NCT00836758,Sleep Apnea,Device,Analysis with AED and manual PSG scoring
NCT00871715,Brain Infarction|Brain Ischemia|Cerebral Infarction|Cerebrovascular Disorders|Stroke,Behavioral,Accelerated Skill Acquisition Program (ASAP)|Dose-Equivalent Usual & Customary Care - DEUCC|Usual and Customary Care - UCC
NCT00872742,Trichotillomania,Behavioral,Acceptance enhanced behavior therapy (AEBT)|Psychoeducation and supportive therapy (PST)
NCT00878150,Depression|Traumatic Brain Injury,Behavioral,In-person Cognitive Behavioral Therapy|Telephone Cognitive Behavioral Therapy
NCT00882271,Fibromyalgia,Other,Acupuncture
NCT00883220,Neurogenic Bladder|Urinary Retention,Behavioral,Self-management of urinary catheter
NCT00936286,Obstructive Sleep Apnea Syndrome,Device,SpiroTiger
NCT00947622,Fibromyalgia,Device,Transcranial direct current stimulation
NCT00952211,Obstructive Sleep Apnea|Stroke,Device,CPAP|CPAP at sub-therapeutic pressure
NCT00957918,Parkinson's Disease,Other,placebo comparator
