"nct_id","intervention_type","official_title","description"
NCT00004659,Procedure,Phase II Randomized Study of Stereotactic Radiosurgery Plus Fractionated Whole-Brain Radiotherapy Vs Fractionated Whole-Brain Radiotherapy Alone for Multiple Primary or Metastatic Brain Tumors,"OBJECTIVES: I. Evaluate whether stereotactic radiosurgery provides local control at multiple sites in patients with primary or metastatic brain tumors, controlled systemic disease, and preserved neurologic function.

II. Examine survival, clinical outcome, and local tumor imaging response in these patients."
NCT00053625,Procedure,Deep Brain Stimulation for Parkinson's Disease Trial,"The purpose of this trial is to evaluate the effect of deep brain stimulation in the the globus pallidus (Gpi) and the subthalamic nucleus (STN) on motor, neuropsychological and psychiatric function, and quality of life in patients with Parkinson's disease."
NCT00078988,Procedure,A Phase III Randomized Trial for the Treatment of Pediatric High Grade Gliomas at First Recurrence With a Single High Dose Chemotherapy and Autologous Stem Cell Transplant Versus Three Courses of Intermediate Dose Chemotherapy With Peripheral Blood Stem Cell (PBSC) Support,"RATIONALE: Drugs used in chemotherapy, such as carboplatin, thiotepa, and etoposide, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with autologous stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. Isotretinoin may be effective in preventing recurrence of glioma. It is not yet known which regimen of chemotherapy plus autologous stem cell transplantation with or without isotretinoin is more effective in treating recurrent high-grade glioma.

PURPOSE: This randomized phase III trial is studying high-dose chemotherapy or intermediate-dose chemotherapy followed by autologous stem cell transplantation to see how well it works compared to high-dose chemotherapy or intermediate-dose chemotherapy followed by autologous stem cell transplantation and isotretinoin in treating young patients with recurrent high-grade glioma."
NCT00238264,Radiation,A Phase II Study of Conformal Radiotherapy In Patients With Low-Grade Gliomas,"RATIONALE: Specialized radiation therapy that delivers radiation directly to the tumor may kill more tumor cells and cause less damage to normal tissue.

PURPOSE: This phase II trial is studying how well radiation therapy works in treating young patients with gliomas."
NCT00283738,Procedure,"A Prospective, Multi-Center, Double-Blinded, Placebo-Controlled Trial to Evaluate the Effectiveness of Patent Foramen Ovale Closure With the BioSTAR Septal Repair Implant to Reduce Refractory Migraine Headache With Aura.",The objective of the study is to investigate the safety and effectiveness of PFO closure with the BioSTAR Septal Repair Implant System in a population of patients that have refractory migraine (with aura) and who have failed medications.
NCT00298532,Procedure,The Ontario Prehospital Advanced Life Support (OPALS) Study for Critically Ill and Injured Pediatric Patients,The OPALS Pediatric Study will examine the incremental impact of introducing a prehospital full advanced life support in pediatric patients.
NCT00316563,Other,"A Double-blind, Randomized, Placebo Controlled Clinical Trial to Evaluate the Efficacy of Orexigenic Therapy With Delta-9-tetrahydrocannabinol in Advanced Cancer Patients With Chemosensory Abnormalities - a Pilot Study",To investigate delta-9-tetrahydrocannabinol's (THC) ability to increase food intake and improve food enjoyment for advanced cancer patients with taste and/or smell (chemosensory) abnormalities.
NCT00360789,Behavioral,The Effects of Standardized Physical Therapy and Functional Strength Training on Upper Limb Function and Neuromuscular Weakness After Stroke: a Pilot Study,The purpose of this study is to test the hypothesis that adding functional strength training to UK conventional therapy improves muscle function and walking than either UK conventional therapy alone or increased intensity of UK conventional therapy.
NCT00437372,Radiation,"A Phase IB, Open-Label, Safety Study of the Combination of Sunitinib and Radiation for the Treatment of Patients With Cancer",This study is using the combination of radiation and antiangiogenic agents (agents that destroy existing blood vessels) seems to be an approach to tumor cure.
NCT00444067,Other,"A Prospective, Multi-Center, Randomized Controlled Study to Compare the Spinal Sealant System as an Adjunct to Sutured Dural Repair With Standard of Care Methods During Spinal Surgery",To evaluate a spinal sealant as an adjunct to sutured dural repair compared to standard of care techniques.
NCT00675155,Radiation,Phase 1 Study to Determine the Efficacy of Using Far Infrared Radiation for Stroke Rehabilitation,A stroke is a sudden loss of brain function. It is caused by the interruption of flow of blood to the brain (ischemic stroke) or the rupture of blood vessels in the brain (hemorrhagic stroke). This study will investigate the use of far infrared radiation for stroke rehabilitation.
NCT00772278,Procedure,A Randomized Evaluation of Short Term and Long Term Outcome After Endovascular Repair by Stenting of Carotid Artery Stenosis in Patients With Severe (70% and Higher) Asymptomatic Carotid Stenosis,"Purpose of this study:

Primary:

• Comparison of cardiovascular mortality and morbidity which includes cardiac and neurological morbidity (TIA and CVA) in the two invasive treatments of asymptomatic carotid artery stenosis

Secondary:

Comparison of non cardiovascular morbidity caused by the two invasive techniques

morbidity at the site of incision (infection or local hematoma)
damage to cranial nerves (hypoglossus, vagus)
brain hyperperfusion which is defined as severe headache which is not responsive to analgesics with or without nausea and vomiting.
events of bradycardia within the first 24 hours, clinically evident and/or silent
microembolic brain events immediately after the procedure and their relationship with morbidity and/or mortality due to TIA's or CVA's
the change in the stenotic carotid artery at the time of follow up with duplex of neck arteries
the comparison of the affect of the two procedures on patient life style"
NCT00780806,Procedure,An Open-Label Safety And Blood Collection Study In Mnb Rlp2086 Vaccinated Healthy Adult Volunteers For Immunological Assay Development,The purpose of this study is to evaluate the safety of an investigational meningococcal B rLP2086 vaccine in adults and to obtain blood samples from immunized subjects for use in assay development.
NCT00817128,Procedure,Pain Exposure Physical Therapy Or Conservative Therapy for Patients With Complex Regional Pain Syndrome Type I,"The current Dutch CBO guideline treatment of Complex Regional Pain Syndrome Type I (CRPS-1) is very disappointing with chronification, disability and subsequent high medical costs and personal suffering. A possible better treatment is intensive function-oriented physical therapy or Pain Exposure in Physical Therapy (PEPT). However, there are no adequate studies performed that demonstrate the efficacy of PEPT and therefore PEPT is lacking in the Dutch CBO CRPS-1 guidelines. Despite a lacking scientific argumentation, the PEPT approach or Macedonian therapy, is now being adopted on a large scale among physical therapists in The Netherlands. There are two level C retrospective cohort studies demonstrating a promising and clinical relevant beneficial effect on pain and function after PEPT. In response to the growing demand for scientific argumentation among doctors and physical therapists with respect to the efficacy of PEPT, we conducted a pilot study at the UMC St Radboud Nijmegen. The results of this pilot study were very promising and therefore, we decided to design a large RCT to investigate the treatment effects and costs in CRPS patients treated with PEPT compared to CRPS patients treated with usual therapy according to the Dutch CBO guidelines."
NCT00895960,Radiation,Phase I/II Trial of Dasatinib (Sprycel) With Radiation Therapy and Concomitant and Adjuvant Temozolomide in Patients With Newly-Diagnosed Glioblastoma,"Phase I:

Primary Objectives:

-To define the maximum tolerated dose (MTD) of dasatinib (Sprycel) with radiotherapy (RT) and 6 weeks of concomitant temozolomide (TMZ) administered at 75 mg/m^2/day in patients with newly-diagnosed glioblastoma (GBM).

Secondary Objectives:

To characterize the safety profile of dasatinib (Sprycel) in combination with radiotherapy (RT) and concomitant TMZ in patients with newly-diagnosed GBM.
To characterize the safety profile of dasatinib (Sprycel) in combination with adjuvant TMZ in patients with glioblastoma after RT.

STUDY DID NOT PROGRESS TO PHASE II PORTION.

Phase II:

Primary Objectives:

-To determine the effectiveness of dasatinib (Sprycel) with radiotherapy (RT) and 6 weeks of concomitant temozolomide (TMZ) administered at 75 mg/m^2/day followed by adjuvant temozolomide with concurrent dasatinib in patients with newly-diagnosed glioblastoma (GBM) as measured by overall survival.

Secondary Objectives:

To determine the efficacy of this treatment as measured by radiographic response (RR), progression-free survival (PFS) and time to progression (TTP).
To characterize the safety profile of dasatinib (Sprycel) in combination with RT and concomitant TMZ in patients with newly-diagnosed GBM.
To characterize the safety profile of dasatinib (Sprycel) in combination with adjuvant TMZ in patients with GBM after RT.

Exploratory Objectives:

-To correlate tumor genotype, tumor expression of dasatinib target proteins (e.g. Src, EphA2, c-kit and PDGFR), and PTEN levels with response to therapy with dasatinib and temozolomide."
NCT01000350,Other,Intravenous Saline on Exercise Tolerance in Orthostatic Intolerance,The investigators will test whether an intravenous infusion of saline (salt water) will improve the exercise capacity in patients with postural tachycardia syndrome (POTS).
NCT01168466,Behavioral,Pilot Study of EEG and Cerebral Blood Flow Biofeedback Training in Remediating Cognitive and Behavioral Deficits in Adults With a Dementing Illness.,"This study measures whether the symptoms of frontotemporal dementia (FTD) can be successfully treated by (a) biofeedback training to increase brain blood flow, (b) biofeedback to increase the frequency of the brain's dominant brainwave rhythm, and (c) rhythmic stimulation to increase the brain's dominant brainwave frequency."
NCT01546467,Behavioral,Cognitive Remediation in Early Phase Psychosis,"The purpose of the study is to investigate the effect of a 30 hour cognitive remediation program for young patients with early phase schizophrenia spectrum disorders on cognitive, clinical and functional outcome measures. The remediation program is integrated with whatever active rehabilitation the participant is currently attending (school, work, day program etc)."
NCT01608516,Radiation,"Multimodal Assessment of the Inflammatory Atheromatous Plaque : Comparison Between 68Ga-NODAGA-RGD PET/CT, 18F-FDG PET/CT, MRI AND US","The present study aims at assessing the ability of 68Ga-NODAGA-RGD PET/CT for the detection of inflammatory atheromatous plaques in the carotid arteries, compared to 18F-FDG PET/CT, MRI and US and to determine the contribution of each imaging technique. Current gold standard for inflammation is histopathology.

Hypothesis : 68Ga-NODAGA-RGD might give a better initial evaluation of patients with atheromatous plaques in the carotid artery eligible for endarterectomy."
NCT01826058,Radiation,Spine Stereotactic Body Radiation Therapy for Metastatic Epidural Spinal Cord: Prospective Phase II Study,"Metastatic epidural spinal cord compression (MESCC) is a frequent oncologic emergency that requires to be treated promptly. Although direct decompressive surgery is the most effective treatment, surgery is only used in selected patients because most patients have a poor overall condition and short life expectancy. Radiation therapy (RT), therefore, is the most commonly used for patients with MESCC, but conventional RT alone can achieve modest neurologic outcomes.

The hypothesis to use stereotactic body radiation therapy (SBRT) for MESCC is that the rapid decompression of epidural mass, durable local control and subsequently improved neurologic outcomes compared to conventional RT are expected when MESCC is treated with SBRT."
NCT02066558,Other,Basic Research on Carbon Monoxide's Headache Inducing Characteristics and Effects on the Cerebral Arteries and Blood Flow in a Humane Experimental Headache Model,In this study the investigators will research the hypothesis that the gas carbon monoxide induces headache and increases the blood flow velocity in the middle cerebral artery.
NCT02180867,Radiation,Pazopanib Neoadjuvant Trial in Non-Rhabdomyosarcoma Soft Tissue Sarcomas (PAZNTIS): A Phase II/III Randomized Trial of Preoperative Chemoradiation or Preoperative Radiation Plus or Minus Pazopanib (NSC# 737754),"This randomized phase II/III trial studies how well pazopanib, when combined with chemotherapy and radiation therapy or radiation therapy alone, work in the treatment of patients with newly diagnosed non-rhabdomyosarcoma soft tissue sarcomas that can eventually be removed by surgery. Radiation therapy uses high energy x-rays to kill tumor cells. Drugs used in chemotherapy, such as ifosfamide and doxorubicin, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Pazopanib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. It is not yet known whether these therapies can be safely combined and if they work better when given together in treating patients with non-rhabdomyosarcoma soft tissue sarcomas."
