"nct_id","conditions","intervention_types","intervention_names"
NCT00004659,Brain Neoplasms,Procedure,irradiation|radiosurgery
NCT00053625,Parkinson's Disease,Procedure,deep brain stimulation
NCT00078988,Brain Tumor|Central Nervous System Tumor,Biological|Drug|Procedure,autologous bone marrow transplantation|carboplatin|etoposide|filgrastim|isotretinoin|peripheral blood stem cell transplantation|thiotepa
NCT00238264,Brain Tumor|Central Nervous System Tumor,Radiation,radiation therapy
NCT00283738,Aura|Migraine|Patent Foramen Ovale,Device|Procedure,BioSTAR Septal Repair Implant System|Sham Procedure
NCT00298532,Seizure,Procedure,Advanced Life Support
NCT00316563,Anorexia|Cancer|Olfactory Disorders|Taste Disorders,Drug|Other,Marinol (Dronabinol)|Placebo
NCT00360789,Stroke,Behavioral,Conventional UK physical therapy|Increased intensity of UK conventional physical therapy (PT)|UK conventional PT plus functional strength training
NCT00437372,Cancer|Head and Neck Cancer|Nervous System Neoplasms|Pelvic Cancer|Thoracic Neoplasms,Drug|Radiation,External Beam Radiation Therapy|Sunitinib
NCT00444067,"Cerebrospinal Fluid Leakage, Subdural",Device|Other,Spinal Sealant|Standard of Care
NCT00675155,Stroke,Radiation,Far Infrared Radiation
NCT00772278,Carotid Stenosis,Procedure,carotid artery stenting|carotid endarterectomy
NCT00780806,"Meningitis, Meningococcal",Biological|Procedure,Blood draw|meningococcal B rLP2086 vaccine candidate
NCT00817128,"Complex Regional Pain Syndrome, Type I",Procedure,CBO standard|PEPT
NCT00895960,Brain Diseases|CNS Disease|Glioblastoma,Drug|Radiation,Dasatinib|RT (Radiotherapy)|TMZ (Temozolomide)
NCT01000350,Postural Tachycardia Syndrome,Drug|Other,Placebo|Saline
NCT01168466,Dementia,Behavioral,QEEG-based Neurofeedback Training
NCT01546467,Psychosis NOS|Schizoaffective Disorder|Schizophrenia,Behavioral,Cognitive remediation
NCT01608516,Atheromatous Plaques|Carotid Artery Diseases|Inflammation,Radiation,"68Ga-NODAGA-RGD PET/CT"
