Mesh ID,Common name,Synonyms,Tree Number,Disease Class
D000069279,Drug Resistant Epilepsy,"Refractory Epilepsy, Drug| Epilepsies, Drug Resistant| Intractable Epilepsy| Drug Refractory Epilepsies| Epilepsy, Drug Resistant| Epilepsies, Medication Resistant| Epilepsy, Refractory| Refractory Epilepsy| Epilepsies, Drug Refractory| Medication Resistant Epilepsy| Epilepsy, Medication Resistant| Resistant Epilepsies, Medication| Epilepsies, Intractable| Refractory Epilepsies| Resistant Epilepsies, Drug| Medication Resistant Epilepsies| Drug Resistant Epilepsies| Epilepsy, Drug Refractory| Intractable Epilepsies| Refractory Epilepsies, Drug| Drug Resistant Epilepsy| Resistant Epilepsy, Medication| Epilepsy, Intractable| Drug Refractory Epilepsy| Epilepsies, Refractory| Resistant Epilepsy, Drug",C10.228.140.490.125,Central Nervous System Diseases
D000069281,Autoimmune Hypophysitis,"Autoimmune Hypophysitides| Hypophysitis, Lymphocytic| Lymphoid Hypophysitis| Lymphocytic Hypophysitis| Hypophysitides, Lymphoid| Hypophysitides, Lymphocytic| Autoimmune Hypophysitis| Lymphocytic Hypophysitides| Hypophysitides, Autoimmune| Hypophysitis, Lymphoid| Hypophysitis, Autoimmune| Lymphoid Hypophysitides",C10.228.140.617.738.275.500,Central Nervous System Diseases
D000069544,Infectious Encephalitis,"Infectious Encephalitis| Encephalitis, Infectious",C10.228.228.399| C10.228.140.430.520,Central Nervous System Diseases
D000070607,Morton Neuroma,"Morton's Metatarsalgia| Neuroma, Morton| Neuroma, Intermetatarsal| Mortons Neuroma| Morton Neuralgia| Morton's Disease| Mortons Disease| Neuralgia, Morton's| Intermetatarsal Neuroma| Neuromas, Intermetatarsal| Morton Neuroma| Mortons Metatarsalgia| Morton's Neuroma| Morton's Neuralgia| Metatarsalgia, Morton's| Neuroma, Morton's| Mortons Neuralgia| Intermetatarsal Neuromas| Morton Metatarsalgia| Morton Disease| Disease, Morton's",C10.668.829.600.375,Neuromuscular Diseases
D000070624,Brain Contusion,"Contusion, Brain| Contusio Cerebri| Brain Contusion| Contusions, Brain| Brain Contusions",C10.228.140.199.444.375| C10.900.300.087.235.375,Central Nervous System Diseases
D000070625,"Brain Injuries, Diffuse","Diffuse Cerebral Injury| Diffuse Axonal Brain Injury| Diffuse Brain Injuries| Brain Injuries, Diffuse| Cerebral Injuries, Diffuse| Diffuse Brain Injury| Brain Injury, Diffuse| Cerebral Injury, Diffuse| Diffuse Cerebral Injuries",C10.228.140.199.388| C10.900.300.087.219,Central Nervous System Diseases
D000070627,Chronic Traumatic Encephalopathy,"Traumatic Encephalopathy, Chronic| Chronic Post-Traumatic Encephalopathy| Chronic Post Traumatic Encephalopathy| Chronic Traumatic Encephalopathy| Chronic Post-Traumatic Encephalopathies| Encephalopathy, Post-Traumatic, Chronic",C10.228.140.199.500.500| C10.900.300.087.250.500| C10.900.300.087.235.500| C10.228.140.199.444.500| C10.574.250,Central Nervous System Diseases
D000070642,"Brain Injuries, Traumatic","Brain Injury, Traumatic| TBIs (Traumatic Brain Injuries)| TBI (Traumatic Brain Injury)| Encephalopathy, Traumatic| Brain Injuries, Traumatic| Brain Traumas| Injury, Brain, Traumatic| Traumatic Encephalopathy| Traumas, Brain| Brain Trauma| Traumatic Brain Injuries| Encephalopathies, Traumatic| Traumatic Encephalopathies| Trauma, Brain| Traumatic Brain Injury| TBI (Traumatic Brain Injuries)",C10.228.140.199.444| C10.900.300.087.235,Central Nervous System Diseases
D000071017,Hyperekplexia,Hyperekplexias| Hyperekplexia,C10.228.590,Central Nervous System Diseases
D000071057,Tardive Dyskinesia,"Tardive Dystonias| Dystonias, Tardive| Dyskinesias, Tardive| Tardive Dyskinesia| Dyskinesia, Tardive| Tardive Dyskinesias| Tardive Dystonia| Dystonia, Tardive",C10.228.662.262.500.500| C10.597.350.275.500,Central Nervous System Diseases
