ICD Node URI,ICD Parent URI,Mesh ID,MeSH Tree Number,ICD Title,MeSH Common name,MeSH Disease Class,ICD Disease Class,MeSH Synonyms
,,D000069279,C10.228.140.490.125,,Drug Resistant Epilepsy,Central Nervous System Diseases,,"Refractory Epilepsy, Drug| Epilepsies, Drug Resistant| Intractable Epilepsy| Drug Refractory Epilepsies| Epilepsy, Drug Resistant| Epilepsies, Medication Resistant| Epilepsy, Refractory| Refractory Epilepsy| Epilepsies, Drug Refractory| Medication Resistant Epilepsy| Epilepsy, Medication Resistant| Resistant Epilepsies, Medication| Epilepsies, Intractable| Refractory Epilepsies| Resistant Epilepsies, Drug| Medication Resistant Epilepsies| Drug Resistant Epilepsies| Epilepsy, Drug Refractory| Intractable Epilepsies| Refractory Epilepsies, Drug| Drug Resistant Epilepsy| Resistant Epilepsy, Medication| Epilepsy, Intractable| Drug Refractory Epilepsy| Epilepsies, Refractory| Resistant Epilepsy, Drug"
,,D000069281,C10.228.140.617.738.275.500,,Autoimmune Hypophysitis,Central Nervous System Diseases,,"Autoimmune Hypophysitides| Hypophysitis, Lymphocytic| Lymphoid Hypophysitis| Lymphocytic Hypophysitis| Hypophysitides, Lymphoid| Hypophysitides, Lymphocytic| Autoimmune Hypophysitis| Lymphocytic Hypophysitides| Hypophysitides, Autoimmune| Hypophysitis, Lymphoid| Hypophysitis, Autoimmune| Lymphoid Hypophysitides"
,,D000069544,C10.228.228.399| C10.228.140.430.520,,Infectious Encephalitis,Central Nervous System Diseases,,"Infectious Encephalitis| Encephalitis, Infectious"
,,D000070607,C10.668.829.600.375,,Morton Neuroma,Neuromuscular Diseases,,"Morton's Metatarsalgia| Neuroma, Morton| Neuroma, Intermetatarsal| Mortons Neuroma| Morton Neuralgia| Morton's Disease| Mortons Disease| Neuralgia, Morton's| Intermetatarsal Neuroma| Neuromas, Intermetatarsal| Morton Neuroma| Mortons Metatarsalgia| Morton's Neuroma| Morton's Neuralgia| Metatarsalgia, Morton's| Neuroma, Morton's| Mortons Neuralgia| Intermetatarsal Neuromas| Morton Metatarsalgia| Morton Disease| Disease, Morton's"
http://id.who.int/icd/entity/1289874444,http://id.who.int/icd/entity/699015578,D000070624,C10.228.140.199.444.375| C10.900.300.087.235.375,Brain contusion,Brain Contusion,Central Nervous System Diseases,Diseases of the nervous system,"Contusion, Brain| Contusio Cerebri| Brain Contusion| Contusions, Brain| Brain Contusions"
,,D000070625,C10.228.140.199.388| C10.900.300.087.219,,"Brain Injuries, Diffuse",Central Nervous System Diseases,,"Diffuse Cerebral Injury| Diffuse Axonal Brain Injury| Diffuse Brain Injuries| Brain Injuries, Diffuse| Cerebral Injuries, Diffuse| Diffuse Brain Injury| Brain Injury, Diffuse| Cerebral Injury, Diffuse| Diffuse Cerebral Injuries"
,,D000070627,C10.228.140.199.500.500| C10.900.300.087.250.500| C10.900.300.087.235.500| C10.228.140.199.444.500| C10.574.250,,Chronic Traumatic Encephalopathy,Central Nervous System Diseases,,"Traumatic Encephalopathy, Chronic| Chronic Post-Traumatic Encephalopathy| Chronic Post Traumatic Encephalopathy| Chronic Traumatic Encephalopathy| Chronic Post-Traumatic Encephalopathies| Encephalopathy, Post-Traumatic, Chronic"
,,D000070642,C10.228.140.199.444| C10.900.300.087.235,,"Brain Injuries, Traumatic",Central Nervous System Diseases,,"Brain Injury, Traumatic| TBIs (Traumatic Brain Injuries)| TBI (Traumatic Brain Injury)| Encephalopathy, Traumatic| Brain Injuries, Traumatic| Brain Traumas| Injury, Brain, Traumatic| Traumatic Encephalopathy| Traumas, Brain| Brain Trauma| Traumatic Brain Injuries| Encephalopathies, Traumatic| Traumatic Encephalopathies| Trauma, Brain| Traumatic Brain Injury| TBI (Traumatic Brain Injuries)"
,,D000071017,C10.228.590,,Hyperekplexia,Central Nervous System Diseases,,Hyperekplexias| Hyperekplexia
,,D000071057,C10.228.662.262.500.500| C10.597.350.275.500,,Tardive Dyskinesia,Central Nervous System Diseases,,"Tardive Dystonias| Dystonias, Tardive| Dyskinesias, Tardive| Tardive Dyskinesia| Dyskinesia, Tardive| Tardive Dyskinesias| Tardive Dystonia| Dystonia, Tardive"
,,D000071072,C10.228.140.021,,Acute Febrile Encephalopathy,Central Nervous System Diseases,,"Acute Encephalitis Syndromes| Acute Febrile Encephalopathy| Acute Febrile Encephalopathies| Acute Encephalitis Syndrome| Encephalopathy, Acute Febrile| Encephalopathies, Acute Febrile| Febrile Encephalopathies, Acute"
,,D000071075,C10.668.829.860,,Small Fiber Neuropathy,Neuromuscular Diseases,,"Neuropathies, Small Fibre| Small Nerve Fiber Neuropathy| Neuropathy, Small Fiber| Small Fibre Neuropathy| Small Fiber Neuropathy| Small Fiber Neuropathies| Neuropathy, Small Fibre| Small Fibre Neuropathies| Neuropathies, Small Fiber"
,,D000071257,C10.597.606.337.500.500,,Emergence Delirium,Neurologic Manifestations,,"Excitement, Postanesthetic| Emergence Excitement| Agitation, Emergence| Emergence Agitation| Delirium, Post-Operative| Emergence Delirium| Agitations, Emergence| Anesthesia Emergence Delirium| Delirium, Emergence| Agitated Emergence| Excitement, Emergence| Emergence, Agitated| Emergence Delirium, Anesthesia| Delirium, Postoperative| Delirium, Anesthesia Emergence| Post Operative Delirium| Post-Operative Delirium| Postoperative Delirium| Postanesthetic Excitement"
,,D000071699,C10.597.057,,Bilateral Vestibulopathy,Neurologic Manifestations,,"Vestibular Insufficiency, Bilateral| Vestibular Loss, Bilateral| Vestibulopathy, Bilateral| Bilateral Vestibulopathy| Bilateral Vestibular Insufficiency| Vestibular Deficiency, Bilateral| Bilateral Vestibular Loss| Bilateral Vestibular Deficiency| Vestibular Areflexia"
,,D000072659,C10.228.140.617.738.275,,Hypophysitis,Central Nervous System Diseases,,Hypophysitides| Hypophysitis
,,D000073376,C10.228.140.490.493,,Epileptic Syndromes,Central Nervous System Diseases,,"Syndromic Epilepsies| Epilepsy, Syndromic| Epileptic Syndrome| Epilepsy Syndromes| Epilepsy Syndrome| Epilepsies, Syndromic| Epileptic Syndromes| Syndromic Epilepsy"
,,D000073839,C10.597.606.360.835,,Trisomy 13 Syndrome,Neurologic Manifestations,,Trisomy 13 Syndromes| Bartholin Patau Syndrome| Patau Syndrome| Patau's Syndrome| Pataus Syndrome| Chromosome 13 Trisomy Syndrome| Trisomy 13 Syndrome| Bartholin-Patau Syndrome
,,D000074042,C10.228.140.300.535.200.600,,Cerebral Intraventricular Hemorrhage,Central Nervous System Diseases,,"Cerebral Intraventricular Haemorrhage| Cerebral Intraventricular Hemorrhages| Intraventricular Haemorrhages, Cerebral| Intraventricular Haemorrhage, Cerebral| Haemorrhage, Cerebral Intraventricular| Cerebral Intraventricular Hemorrhage| Hemorrhage, Cerebral Intraventricular| Intraventricular Hemorrhage, Cerebral| Cerebral Intraventricular Haemorrhages"
,,D000075562,C10.597.606.762.300.500,,Charles Bonnet Syndrome,Neurologic Manifestations,,Charles Bonnet Syndrome
,,D000076042,C10.720.112.100.250| C10.597.606.525.400.500,,Alcoholic Korsakoff Syndrome,Neurotoxicity Syndromes,,"Wernicke-Korsakoff Syndrome, Alcoholic| Alcohol Induced Korsakoff Syndrome| Korsakoff Syndrome, Alcohol-Induced| Alcohol-Induced Korsakoff Syndrome| Alcoholic Wernicke-Korsakoff Syndrome| Alcoholic Korsakoff Syndrome| Korsakoff Syndrome, Alcoholic| Alcoholic Wernicke Korsakoff Syndrome"
,,D000076984,C10.668.829.100.750,,Neonatal Brachial Plexus Palsy,Neuromuscular Diseases,,Neonatal Brachial Plexus Palsy| Obstetrical Brachial Plexus Palsy| Obstetrical Brachial Plexus Lesion
http://id.who.int/icd/entity/177999927,http://id.who.int/icd/entity/1719029386,D000077162,C10.551.568,Neurolymphomatosis,Neurolymphomatosis,Nervous System Neoplasms,Diseases of the nervous system,Neurolymphomatoses| Neurolymphomatosis
http://id.who.int/icd/entity/1490265028,http://id.who.int/icd/entity/2021326314,D000077684,C10.668.829.550.350| C10.668.829.800.750.150,Cauda equina syndrome,Cauda Equina Syndrome,Neuromuscular Diseases,Diseases of the nervous system,Cauda Equina Syndromes| Cauda Equina Syndrome
,,D000160,C10.292.910,,Vestibulocochlear Nerve Diseases,Cranial Nerve Diseases,,Cranial Nerve VIII Diseases| Eighth Cranial Nerve Diseases| Cranial Nerve VIII Disorders| Vestibulocochlear Nerve Disease| Vestibulocochlear Nerve Diseases
,,D000170,C10.720.475.600.150| C10.668.829.025,,Acrodynia,Neurotoxicity Syndromes,,"Acrodynic Erythema| Swift Disease| Feers Disease| Chronic Childhood Mercurialism| Erythema, Acrodynic| Swift's Disease| Childhood Mercurialisms, Chronic| Chronic Childhood Mercurialisms| Feer Disease| Mercurialism, Chronic Childhood| Feer's Disease| Swifts Disease| Acrodynia| Pink Disease| Childhood Mercurialism, Chronic"
,,D000172,C10.228.140.617.738.250.100,,Acromegaly,Central Nervous System Diseases,,"Somatotropin Hypersecretion Syndrome (Acromegaly)| Syndromes, Somatotropin Hypersecretion (Acromegaly)| Somatotropin Hypersecretion Syndromes (Acromegaly)| Inappropriate Growth Hormone Secretion Syndrome (Acromegaly)| Hypersecretion Syndrome, Somatotropin (Acromegaly)| Hypersecretion Syndromes, Somatotropin (Acromegaly)| Inappropriate GH Secretion Syndrome (Acromegaly)| Acromegaly| Syndrome, Somatotropin Hypersecretion (Acromegaly)"
,,D000270,C10.292.562.700.250| C10.177.045,,Adie Syndrome,Cranial Nerve Diseases,,"Pupils, Poorly Reacting| Adie's Syndrome| Holmes-Adie Syndrome| Poorly Reacting Pupils| Syndrome, Adie's| Syndrome, Holmes-Adie| Poorly Reacting Pupil| Holmes Adie Syndrome| Adie Syndrome| Syndrome, Adie| Pupil, Poorly Reacting"
http://id.who.int/icd/entity/1085655586,http://id.who.int/icd/entity/468040251,D000326,C10.228.140.163.100.084| C10.314.400.250| C10.228.140.695.625.250| C10.228.140.163.100.362.250| C10.597.606.360.455.124,Adrenoleukodystrophy,Adrenoleukodystrophy,Central Nervous System Diseases,Diseases of the nervous system,"ALD (Adrenoleukodystrophy)| Siemerling Creutzfeldt Disease| X Linked Adrenoleukodystrophy| Schilder Addison Complex| Leukodystrophies, Melanodermic| Leukodystrophy, Melanodermic| X-ALD| X-ALD (X-Linked Adrenoleukodystrophy)| Addison Disease and Cerebral Sclerosis| Adrenoleukodystrophy| Bronze Schilder Disease| Siemerling-Creutzfeldt Disease| X-Linked Adrenoleukodystrophy| X ALD| Melanodermic Leukodystrophy| Adrenoleukodystrophy, X-Linked| Schilder-Addison Complex| X ALD (X Linked Adrenoleukodystrophy)"
,,D000370,C10.597.751.861.184,,Ageusia,Neurologic Manifestations,,Ageusia| Taste Loss| Loss of Taste
http://id.who.int/icd/entity/1315065296,http://id.who.int/icd/entity/1875757565,D000377,C10.597.606.762.100,Agnosia,Agnosia,Neurologic Manifestations,Diseases of the nervous system,Agnosia| Agnosias
http://id.who.int/icd/entity/1372096058,http://id.who.int/icd/entity/1875757565,D000381,C10.597.606.150.500.050,Agraphia,Agraphia,Neurologic Manifestations,Diseases of the nervous system,Agraphias| Agraphia
http://id.who.int/icd/entity/1448580674,http://id.who.int/icd/entity/1275861519,D000405,C10.228.140.042,Akinetic mutism,Akinetic Mutism,Central Nervous System Diseases,Diseases of the nervous system,"Autism, Akinetic| Akinetic Mutism| Coma Vigil| Akinetic Autism| Akinetic Mutisms| Vigils, Coma| Vigil, Coma| Coma Vigilans| Mutism, Akinetic"
,,D000425,C10.720.112.100,,Alcohol Amnestic Disorder,Neurotoxicity Syndromes,,"Alcohol Amnestic Syndrome| Alcohol Induced Dysmnesic Psychosis| Dysmnesic Psychoses, Alcohol-Induced| Amnestic Psychoses, Alcohol-Induced| Amnestic Syndromes, Alcohol-Induced| Psychosis, Alcohol-Induced Dysmnesic| Psychosis, Alcohol-Induced Amnestic| Alcohol-Induced Dysmnesic Psychosis| Amnestic Disorder, Alcohol| Psychoses, Alcohol-Induced Dysmnesic| Alcohol Amnestic Disorders| Alcohol-Induced Amnestic Psychoses| Alcohol-Induced Dysmnesic Syndromes| Amnestic Syndrome, Alcohol-Induced| Alcohol-Induced Amnestic Psychosis| Alcohol Induced Amnestic Syndrome| Dysmnesic Psychosis, Alcohol-Induced| Alcohol-Induced Dysmnesic Syndrome| Alcohol-Induced Persisting Amnestic Disorder| Alcohol Amnestic Disorder| Amnestic Psychosis, Alcohol Induced| Alcohol Induced Persisting Amnestic Disorder| Dysmnesic Syndrome, Alcohol-Induced| Amnestic Psychosis, Alcohol-Induced| Psychoses, Alcohol-Induced Amnestic| Alcohol Induced Dysmnesic Syndrome| Dysmnesic Syndromes, Alcohol-Induced| Alcohol Amnestic Syndromes| Alcohol-Induced Amnestic Syndrome| Alcohol-Induced Amnestic Syndromes| Alcohol Induced Amnestic Psychosis| Alcohol-Induced Dysmnesic Psychoses"
,,D000430,C10.720.112.200,,Alcohol Withdrawal Delirium,Neurotoxicity Syndromes,,"Alcohol Withdrawal Delirium| Delirium Tremens, Alcohol Withdrawal Induced| Alcohol Withdrawal-Induced Delirium Tremens| Alcohol Withdrawal Induced Delirium Tremens| Delirium Tremens| Delirium, Alcohol Withdrawal"
http://id.who.int/icd/entity/1611724421,http://id.who.int/icd/entity/1719545571,D000544,C10.574.945.249| C10.228.140.380.100,Alzheimer disease,Alzheimer Disease,Neurodegenerative Diseases,Diseases of the nervous system,"Alzheimer Dementia| Sclerosis, Alzheimer| Alzheimer Type Dementia| Alzheimer Dementias| Alzheimers Diseases| Alzheimer Syndrome| Dementia, Alzheimer| Alzheimer-Type Dementia (ATD)| Alzheimer Type Dementia (ATD)| Primary Senile Degenerative Dementia| Alzheimer Disease| Dementia, Senile| Dementia, Primary Senile Degenerative| Alzheimer's Diseases| Alzheimer Sclerosis| Senile Dementia| Dementia, Alzheimer Type| Alzheimer Type Senile Dementia| Senile Dementia, Alzheimer Type| Alzheimer's Disease| Dementia, Alzheimer-Type (ATD)| Alzheimer Diseases"
,,D000550,C10.597.751.941.073| C10.228.140.055,,Amblyopia,Neurologic Manifestations,,Amblyopias| Amblyopia
,,D000647,C10.597.606.525.100,,Amnesia,Neurologic Manifestations,,Amnesias| Amnesia| Amnesia Memory Loss| Amnesia-Memory Loss| Amnesia-Memory Losses
http://id.who.int/icd/entity/1982355687,http://id.who.int/icd/entity/661720689,D000690,C10.228.854.139| C10.574.562.250| C10.574.950.050| C10.668.467.250,Amyotrophic lateral sclerosis,Amyotrophic Lateral Sclerosis,Central Nervous System Diseases,Diseases of the nervous system,"Disease, Lou-Gehrigs| ALS Amyotrophic Lateral Sclerosis| Sclerosis, Amyotrophic Lateral| Lou Gehrig Disease| ALS - Amyotrophic Lateral Sclerosis| Charcot Disease| Amyotrophic Lateral Sclerosis| Gehrig's Disease| Lou-Gehrigs Disease| Gehrig Disease| Gehrigs Disease| Motor Neuron Disease, Amyotrophic Lateral Sclerosis| Lou Gehrig's Disease"
,,D000699,C10.668.829.700,,"Pain Insensitivity, Congenital",Neuromuscular Diseases,,"Congenital Analgesia| Channelopathy-Associated Insensitivity To Pain| Congenital Indifference to Pain| Pain Indifference, Congenital| Congenital Pain Indifference| Congenital Pain Indifferences| Analgesia, Congenital| Pain Insensitivity, Congenital| Congenital Insensitivity To Pain| Insensitivity, Congenital Pain| Insensitivity To Pain, Congenital| Congenital Pain Insensitivity"
http://id.who.int/icd/entity/1292761836,http://id.who.int/icd/entity/458634958,D000757,C10.500.680.196,Anencephaly,Anencephaly,Nervous System Malformations,Diseases of the nervous system,"Brain Congenital Absence| Anencephalus| Anencephaly| Anencephalias| Absence of Brain, Congenital| Anencephalia| Congenital Absence of Brain"
,,D000795,C10.228.140.163.100.435.825.200| C10.228.140.300.275.374,,Fabry Disease,Central Nervous System Diseases,,"Fabry Disease| alpha Galactosidase A Deficiency| alpha-Galactosidase A Deficiency Disease| Deficiency, Ceramide Trihexosidase| Lipidosis, Hereditary Dystopic| Angiokeratoma Corporis Diffusum| Hereditary Dystopic Lipidosis| Deficiency, GLA| Ceramide Trihexosidase Deficiency| alpha-Galactosidase A Deficiency| Angiokeratoma, Diffuse| alpha Galactosidase A Deficiency Disease| Deficiency, alpha-Galactosidase A| GLA Deficiency| Anderson-Fabry Disease| Angiokeratoma Diffuse| Fabry's Disease| Diffuse Angiokeratoma| Anderson Fabry Disease"
http://id.who.int/icd/entity/730186299,http://id.who.int/icd/entity/1875757565,D000849,C10.597.606.150.500.090,Anomia,Anomia,Neurologic Manifestations,Diseases of the nervous system,"Nominal Dysphasias| Anomic Dysphasias| Dysphasias, Nominal| Aphasia, Anomic| Dysnomias| Dysnomia| Dysphasia, Anomic| Nominal Aphasia| Anomic Dysphasia| Anomia| Dysphasias, Anomic| Amnesic Aphasia| Aphasia, Nominal| Dysphasia, Nominal| Nominal Dysphasia| Aphasia, Amnesic| Anomic Aphasia"
,,D000857,C10.597.751.600,,Olfaction Disorders,Neurologic Manifestations,,Olfaction Disorder| Smell Disorders| Olfaction Disorders| Smell Disorder
http://id.who.int/icd/entity/1167055901,http://id.who.int/icd/entity/312794303,D001037,C10.597.606.150.500.800.100,Aphasia,Aphasia,Neurologic Manifestations,Diseases of the nervous system,"Anepia| Logamnesias| Deafness, Word| Alogias| Logagnosias| Word Deafness| Anepias| Logamnesia| Logagnosia| Logasthenias| Alogia| Aphasia| Logasthenia"
,,D001044,C10.597.975.100,,Aphonia,Neurologic Manifestations,,Voice Absences| Aphonia| Voice Absence| Absence of Voice
,,D001072,C10.597.606.881.350,,Apraxias,Neurologic Manifestations,,Dyspraxias| Apraxias| Dyspraxia| Apraxia
,,D001139,C10.500.680.291,,Arnold-Chiari Malformation,Nervous System Malformations,,"Arnold-Chiari Malformation| Arnold Chiari Malformation| Deformity, Arnold-Chiari| Malformation, Arnold Chiari| Arnold-Chiari Syndrome| Arnold Chiari Deformity| Arnold Chiari Syndrome| Malformation, Arnold-Chiari| Arnold-Chiari Deformity| Syndrome, Arnold-Chiari"
,,D001184,C10.597.606.150.500.800.150,,Articulation Disorders,Neurologic Manifestations,,"Disorder, Disarticulation| Phonological Impairment| Articulation Disorders| Articulation Disorder, Speech| Speech Articulation Disorders| Impairment, Phonology| Impairments, Phonological| Articulation Disorder| Misarticulation| Impairments, Phonology| Disarticulation Disorder| Phonology Impairments| Phonological Impairments| Disorders, Disarticulation| Phonology Impairment| Disarticulation Disorders| Speech Articulation Disorder| Impairment, Phonological| Articulation Disorders, Speech"
,,D001259,C10.597.350.090,,Ataxia,Neurologic Manifestations,,"Impairment, Coordination| Dyssynergia| Ataxy| Ataxia| Coordination Impairments| Impairments, Coordination| Ataxias| Coordination Impairment"
,,D001260,C10.562.100| C10.597.350.090.500.530.060| C10.228.140.252.190.530.060,,Ataxia Telangiectasia,Neurocutaneous Syndromes,,"Ataxia Telangiectasia| Syndrome, Louis-Bar| Ataxia Telangiectasia Syndrome| Louis-Bar Syndrome| Louis Bar Syndrome| Syndrome, Ataxia Telangiectasia| Ataxia-Telangiectasia| Telangiectasia, Cerebello-Oculocutaneous"
http://id.who.int/icd/entity/1038838282,http://id.who.int/icd/entity/682424259,D001264,C10.597.350.110,Athetosis,Athetosis,Neurologic Manifestations,Diseases of the nervous system,"Athetoses| Hammond Disease| Athetosis| Athetoid Movement| Movement, Athetoid| Athetoid Movements| Movements, Athetoid| Hammond Diseases| Hammonds Disease| Disease, Hammond's| Diseases, Hammond| Diseases, Hammond's| Hammond's Disease| Hammond's Diseases| Disease, Hammond"
,,D001304,C10.228.140.068,,"Auditory Diseases, Central",Central Nervous System Diseases,,"Auditory Diseases, Central| Auditory Dysfunction, Central| Central Auditory Disease| Central Auditory Dysfunction| Dysfunctions, Central Auditory| Central Auditory Pathway Disorders| Central Auditory Diseases| Auditory Disease, Central| Dysfunction, Central Auditory| Auditory Pathway Disorders, Central"
