Neurological Disease,Source,Disease Class
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine induced Parkinsonism",ICD,Diseases of the nervous system
11p Partial Monosomy Syndrome,MeSH,Neurologic Manifestations
"3s, Spinocerebellar Ataxia",MeSH,Neurodegenerative Diseases
"47,XX,+21",MeSH,Neurologic Manifestations
"47,XY,+21",MeSH,Neurologic Manifestations
4H leukodystrophy,ICD,Diseases of the nervous system
5p Deletion Syndrome,MeSH,Neurologic Manifestations
5p Deletion Syndromes,MeSH,Neurologic Manifestations
5p Minus Syndrome,MeSH,Neurologic Manifestations
5p Minus Syndromes,MeSH,Neurologic Manifestations
5p Syndrome,MeSH,Neurologic Manifestations
5p- Syndrome,MeSH,Neurologic Manifestations
"5p- Syndrome, Chromosome",MeSH,Neurologic Manifestations
5p- Syndromes,MeSH,Neurologic Manifestations
"5p- Syndromes, Chromosome",MeSH,Neurologic Manifestations
AB Variant GM2 Gangliosidosis,MeSH,Central Nervous System Diseases
AB Variant GM2-Gangliosidoses,MeSH,Central Nervous System Diseases
AB Variant GM2-Gangliosidosis,MeSH,Central Nervous System Diseases
AB Variant Gangliosidosis GM2,MeSH,Central Nervous System Diseases
ABO incompatibility reaction,ICD,Diseases of the nervous system
ACA Infarct,MeSH,Central Nervous System Diseases
ACA Infarction,MeSH,Central Nervous System Diseases
ACA Infarctions,MeSH,Central Nervous System Diseases
ACA Infarcts,MeSH,Central Nervous System Diseases
"ACTH Hypersecretion, Pituitary",MeSH,Central Nervous System Diseases
ACTH Producing Pituitary Adenoma,MeSH,Central Nervous System Diseases
ACTH Secreting Pituitary Adenoma,MeSH,Central Nervous System Diseases
ACTH-Producing Pituitary Adenoma,MeSH,Central Nervous System Diseases
ACTH-Producing Pituitary Adenomas,MeSH,Central Nervous System Diseases
ACTH-Secreting Pituitary Adenoma,MeSH,Central Nervous System Diseases
ACTH-Secreting Pituitary Adenomas,MeSH,Central Nervous System Diseases
"ADH Syndrome, Inappropriate",MeSH,Central Nervous System Diseases
"AIDS Arteritis, Central Nervous System",MeSH,Central Nervous System Diseases
AIDS Dementia Complex,MeSH,Central Nervous System Diseases
AIDS Related Dementia Complex,MeSH,Central Nervous System Diseases
AIDS-Related Dementia Complex,MeSH,Central Nervous System Diseases
ALD (Adrenoleukodystrophy),MeSH,Central Nervous System Diseases
ALS - Amyotrophic Lateral Sclerosis,MeSH,Central Nervous System Diseases
ALS Amyotrophic Lateral Sclerosis,MeSH,Central Nervous System Diseases
ANS (Autonomic Nervous System) Diseases,MeSH,Autonomic Nervous System Diseases
ANS Disease,MeSH,Autonomic Nervous System Diseases
ANS Diseases,MeSH,Autonomic Nervous System Diseases
ARG1 Deficiencies,MeSH,Central Nervous System Diseases
ARG1 Deficiency,MeSH,Central Nervous System Diseases
ASA Deficiencies,MeSH,Central Nervous System Diseases
ASA Deficiency,MeSH,Central Nervous System Diseases
ASL Deficiencies,MeSH,Central Nervous System Diseases
ASL Deficiency,MeSH,Central Nervous System Diseases
ASS Deficiencies,MeSH,Central Nervous System Diseases
ASS Deficiency,MeSH,Central Nervous System Diseases
AVM (Arteriovenous Malformation) Intracranial,MeSH,Central Nervous System Diseases
Abdominal migraine,ICD,Diseases of the nervous system
Abducens Nerve Disease,MeSH,Cranial Nerve Diseases
Abducens Nerve Diseases,MeSH,Cranial Nerve Diseases
Abducens Nerve Injuries,MeSH,Cranial Nerve Diseases
Abducens Nerve Injury,MeSH,Cranial Nerve Diseases
Abducens Nerve Trauma,MeSH,Cranial Nerve Diseases
Abducens Nerve Traumas,MeSH,Cranial Nerve Diseases
"Abducens Neuropathies, Traumatic",MeSH,Cranial Nerve Diseases
"Abducens Neuropathy, Traumatic",MeSH,Cranial Nerve Diseases
Abducens nerve palsy,ICD,Diseases of the nervous system
Abducens nerve palsy associated with other neurologic signs,ICD,Diseases of the nervous system
Abetalipoproteinemia causing ophthalmoplegia,ICD,Diseases of the nervous system
Abnormal EEG - [electroencephalogram],ICD,Diseases of the nervous system
Abnormal EMG - [electromyogram],ICD,Diseases of the nervous system
Abnormal EOG - [electro-oculogram],ICD,Diseases of the nervous system
Abnormal ERG - [electroretinogram],ICD,Diseases of the nervous system
Abnormal Movement,MeSH,Central Nervous System Diseases
Abnormal Movements,MeSH,Central Nervous System Diseases
Abnormal Proliferation Cortical Malformations,MeSH,Nervous System Malformations
Abnormal Reflex,MeSH,Neurologic Manifestations
Abnormal Reflexes,MeSH,Neurologic Manifestations
Abnormal VEP - [visual evoked potential],ICD,Diseases of the nervous system
Abnormal brain function studies,ICD,Diseases of the nervous system
Abnormal brain scan,ICD,Diseases of the nervous system
Abnormal caloric test,ICD,Diseases of the nervous system
Abnormal chromosomal findings not elsewhere classified,ICD,Diseases of the nervous system
Abnormal cytological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
Abnormal echoencephalogram,ICD,Diseases of the nervous system
Abnormal head movements,ICD,Diseases of the nervous system
Abnormal histological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
Abnormal immunological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
Abnormal involuntary movements,ICD,Diseases of the nervous system
"Abnormal level of drugs, medicaments and biological substances in cerebrospinal fluid",ICD,Diseases of the nervous system
Abnormal level of enzymes in cerebrospinal fluid,ICD,Diseases of the nervous system
Abnormal level of hormones in cerebrospinal fluid,ICD,Diseases of the nervous system
Abnormal level of substances chiefly nonmedicinal as to source in cerebrospinal fluid,ICD,Diseases of the nervous system
Abnormal microbiological findings in cerebrospinal fluid,ICD,Diseases of the nervous system
Abnormal neuronal migration,ICD,Diseases of the nervous system
Abnormal or painful amputation stump,ICD,Diseases of the nervous system
Abnormal posture,ICD,Diseases of the nervous system
Abnormal reflex,ICD,Diseases of the nervous system
Abnormal response to nerve stimulation,ICD,Diseases of the nervous system
Abnormal results of function studies of central nervous system,ICD,Diseases of the nervous system
Abnormal results of function studies of peripheral nervous system or special senses,ICD,Diseases of the nervous system
Abnormalities of gait and mobility,ICD,Diseases of the nervous system
Abnormalities of vascular origin causing spinal cord compression,ICD,Diseases of the nervous system
"Abnormalities, Congenital, Nervous System",MeSH,Nervous System Malformations
"Abnormalities, Nervous System",MeSH,Nervous System Malformations
Abnormality of gait,ICD,Diseases of the nervous system
Abnormality of tonus and reflex,ICD,Diseases of the nervous system
"Abnormality, Nervous System",MeSH,Nervous System Malformations
Abrasion of buccal mucosa,ICD,Diseases of the nervous system
Abrasion of ear,ICD,Diseases of the nervous system
Abrasion of eyelid or periocular area,ICD,Diseases of the nervous system
Abrasion of lip or oral cavity,ICD,Diseases of the nervous system
Abrasion of neck,ICD,Diseases of the nervous system
Abrasion of nose,ICD,Diseases of the nervous system
Abrasion of other or unspecified sites of head,ICD,Diseases of the nervous system
Abrasion of scalp,ICD,Diseases of the nervous system
Abrasion of supraorbital region,ICD,Diseases of the nervous system
Abrasion of temple,ICD,Diseases of the nervous system
Abrasion of throat,ICD,Diseases of the nervous system
Abscess causing spinal cord compression,ICD,Diseases of the nervous system
Abscess of the corpus callosum,ICD,Diseases of the nervous system
"Abscess, Brain",MeSH,Central Nervous System Diseases
"Abscess, Epidural",MeSH,Central Nervous System Diseases
"Abscess, Extradural",MeSH,Central Nervous System Diseases
Absence Epilepsy,MeSH,Central Nervous System Diseases
Absence episode,ICD,Diseases of the nervous system
"Absence of Brain, Congenital",MeSH,Nervous System Malformations
"Absence of Cerebral Hemispheres, Congenital",MeSH,Nervous System Malformations
Absence of Corpus Callosum,MeSH,Nervous System Malformations
Absence of Voice,MeSH,Neurologic Manifestations
"Absence seizures, atypical",ICD,Diseases of the nervous system
"Absence seizures, typical",ICD,Diseases of the nervous system
Absence status epilepticus,ICD,Diseases of the nervous system
Abuse of antacids,ICD,Diseases of the nervous system
Abuse of anxiolytics,ICD,Diseases of the nervous system
Abuse of herbal or folk remedies,ICD,Diseases of the nervous system
Abuse of hormones,ICD,Diseases of the nervous system
Abuse of hypnotics,ICD,Diseases of the nervous system
Abuse of laxatives,ICD,Diseases of the nervous system
Abuse of salicylism,ICD,Diseases of the nervous system
Abuse of steroids,ICD,Diseases of the nervous system
Abuse of vitamins,ICD,Diseases of the nervous system
Acalculia,MeSH|ICD,Diseases of the nervous system|Neurologic Manifestations
Acalculias,MeSH,Neurologic Manifestations
Acalvaria,ICD,Diseases of the nervous system
"Acanthocytoses, Chorea",MeSH,Central Nervous System Diseases
Acanthocytosis with Neurologic Disorder,MeSH,Central Nervous System Diseases
"Acanthocytosis, Chorea",MeSH,Central Nervous System Diseases
Acarophobia,ICD,Diseases of the nervous system
"Acathisia, Drug Induced",MeSH,Neurotoxicity Syndromes
"Acathisia, Drug-Induced",MeSH,Neurotoxicity Syndromes
Accessory Nerve Disease,MeSH,Cranial Nerve Diseases
Accessory Nerve Diseases,MeSH,Cranial Nerve Diseases
Accessory Nerve Injuries,MeSH,Cranial Nerve Diseases
Accessory Nerve Injury,MeSH,Cranial Nerve Diseases
Accessory Nerve Trauma,MeSH,Cranial Nerve Diseases
Accessory Nerve Traumas,MeSH,Cranial Nerve Diseases
"Accessory Neuropathies, Traumatic",MeSH,Cranial Nerve Diseases
"Accessory Neuropathy, Traumatic",MeSH,Cranial Nerve Diseases
Acephaly,ICD,Diseases of the nervous system
Acetazolamide-responsive myotonia,ICD,Diseases of the nervous system
Acid Alpha Glucosidase Deficiency,MeSH,Central Nervous System Diseases
Acid Alpha-Glucosidase Deficiencies,MeSH,Central Nervous System Diseases
Acid Alpha-Glucosidase Deficiency,MeSH,Central Nervous System Diseases
Acid Ceramidase Deficiencies,MeSH,Central Nervous System Diseases
Acid Ceramidase Deficiency,MeSH,Central Nervous System Diseases
Acid Maltase Deficiency Disease,MeSH,Central Nervous System Diseases
Acid beta-Glucosidase Deficiency,MeSH,Central Nervous System Diseases
Acid beta-Glucosidase Deficiency Disease,MeSH,Central Nervous System Diseases
"Acidemia, Argininosuccinate",MeSH,Central Nervous System Diseases
"Acidemias, Argininosuccinate",MeSH,Central Nervous System Diseases
"Aciduria, Argininosuccinic",MeSH,Central Nervous System Diseases
"Acidurias, Argininosuccinic",MeSH,Central Nervous System Diseases
Acne excoriee,ICD,Diseases of the nervous system
Acoustic Neurilemmoma,MeSH,Cranial Nerve Diseases
Acoustic Neurilemmomas,MeSH,Cranial Nerve Diseases
Acoustic Neurilemoma,MeSH,Cranial Nerve Diseases
Acoustic Neurilemomas,MeSH,Cranial Nerve Diseases
Acoustic Neurinoma,MeSH,Cranial Nerve Diseases
Acoustic Neurinomas,MeSH,Cranial Nerve Diseases
"Acoustic Neurofibromatoses, Bilateral",MeSH,Cranial Nerve Diseases
"Acoustic Neurofibromatosis, Bilateral",MeSH,Cranial Nerve Diseases
Acoustic Neuroma,MeSH,Cranial Nerve Diseases
Acoustic Neuromas,MeSH,Cranial Nerve Diseases
Acoustic Perceptual Disorder,MeSH,Neurologic Manifestations
Acoustic Perceptual Disorders,MeSH,Neurologic Manifestations
Acoustic Schwannoma,MeSH,Cranial Nerve Diseases
Acoustic Schwannomas,MeSH,Cranial Nerve Diseases
Acoustic Tumor,MeSH,Cranial Nerve Diseases
Acoustic Tumors,MeSH,Cranial Nerve Diseases
Acquired Aphasia with Convulsive Disorder,MeSH,Central Nervous System Diseases
Acquired Childhoood Aphasia with Convulsive Disorder,MeSH,Central Nervous System Diseases
Acquired Dyslexia,MeSH,Neurologic Manifestations
Acquired Epileptic Aphasia,MeSH,Central Nervous System Diseases
Acquired Epileptic Aphasias,MeSH,Central Nervous System Diseases
Acquired Epileptiform Aphasia,MeSH,Central Nervous System Diseases
Acquired Epileptiform Aphasias,MeSH,Central Nervous System Diseases
Acquired Oculomotor nerve palsy,ICD,Diseases of the nervous system
Acquired Reading Disabilities,MeSH,Neurologic Manifestations
Acquired Reading Disability,MeSH,Neurologic Manifestations
Acquired Word Blindness,MeSH,Neurologic Manifestations
Acquired Word Blindnesses,MeSH,Neurologic Manifestations
Acquired ataxia,ICD,Diseases of the nervous system
"Acquired brain deformity, not elsewhere classified",ICD,Diseases of the nervous system
Acquired conductive hearing loss,ICD,Diseases of the nervous system
Acquired epileptic aphasia,ICD,Diseases of the nervous system
Acquired hearing impairment,ICD,Diseases of the nervous system
Acquired idiopathic generalised anhidrosis,ICD,Diseases of the nervous system
Acquired mixed conductive and sensorineural hearing loss,ICD,Diseases of the nervous system
Acquired optic atrophy,ICD,Diseases of the nervous system
Acquired porencephalic cysts,ICD,Diseases of the nervous system
Acquired prion disease,ICD,Diseases of the nervous system
Acquired sensorineural hearing loss,ICD,Diseases of the nervous system
