entity_token,in_test_frq,entity_class,in_train_frq,evaluation,model
alexander disease,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
placebo,16,control,163,"{'tp': 14, 'fp': 2, 'fn': 0}",BioLinkBERT-base
ion373,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
axd,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
axd.,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
cannabis,9,other,7,"{'tp': 7, 'fp': 2, 'fn': 0}",BioLinkBERT-base
cbd,1,drug,2,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
chronic pain,5,condition,9,"{'tp': 3, 'fp': 1, 'fn': 1}",BioLinkBERT-base
pain,35,condition,61,"{'tp': 14, 'fp': 12, 'fn': 9}",BioLinkBERT-base
cannabinoids,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
high - cbd cannabis,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
cannabidi,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
hyperalgesia,1,condition,1,"{'tp': 0, 'fp': 1, 'fn': 0}",BioLinkBERT-base
high-cbd cannabis,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
thc,1,drug,3,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
delta-9-tetrahydrocannabinol,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
medicinal cannabis,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
cannabinoid,1,drug,1,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
cannabidiol,1,drug,1,"{'tp': 0, 'fp': 0, 'fn': 1}",BioLinkBERT-base
antipsychotic medication,1,drug,1,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
risperidone,3,drug,9,"{'tp': 3, 'fp': 0, 'fn': 0}",BioLinkBERT-base
autistic disorder,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
pervasive developmental disorders,2,condition,0,"{'tp': 2, 'fp': 0, 'fn': 0}",BioLinkBERT-base
pdd,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",BioLinkBERT-base
