entity_token,in_test_frq,entity_class,in_train_frq,evaluation,model
alexander disease,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
ion373,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
place,15,control,0,"{'tp': 0, 'fp': 15, 'fn': 0}",bert-base-uncased
axd,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
placebo,14,control,163,"{'tp': 1, 'fp': 0, 'fn': 13}",bert-base-uncased
axd.,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
cannabidiol,1,drug,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
cannabis,7,other,7,"{'tp': 5, 'fp': 0, 'fn': 2}",bert-base-uncased
pain,38,condition,61,"{'tp': 13, 'fp': 15, 'fn': 10}",bert-base-uncased
chronic pain,5,condition,9,"{'tp': 3, 'fp': 1, 'fn': 1}",bert-base-uncased
cannabinoids,1,drug,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
cbd,1,drug,2,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
high - cbd cannabis,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
experimental pain,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
abuse,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
th,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
tetrahydrocannabinol,1,drug,1,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
repeated cannabis,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
thc,1,drug,3,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
medicinal cannabis,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
delta-9-tetrahydrocannabinol,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
cannabinoid,1,drug,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
high-cbd cannabis,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
autistic disorder,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
pdd,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
risperidone,3,drug,9,"{'tp': 1, 'fp': 0, 'fn': 2}",bert-base-uncased
pervasive developmental disorders,2,condition,0,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
##tic,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
per,2,condition,2,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##vasive developmental disorders,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
risperidon,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
anti,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
antipsychotic medication,1,drug,1,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
steroid,3,drug,0,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
gabapentin,4,drug,2,"{'tp': 4, 'fp': 0, 'fn': 0}",bert-base-uncased
lu,5,condition,0,"{'tp': 0, 'fp': 5, 'fn': 0}",bert-base-uncased
##mbosacral radicular pain,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##mbosacral radiculopathy,4,condition,0,"{'tp': 0, 'fp': 4, 'fn': 0}",bert-base-uncased
epid,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
lumbosacral radiculopathy,4,condition,0,"{'tp': 0, 'fp': 0, 'fn': 4}",bert-base-uncased
lumbosacral radicular pain,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
passive static stretching,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
static passive stretching,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
muscle stretching,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
"muscle stretching protocol,",1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
spinal cord injury,11,condition,26,"{'tp': 7, 'fp': 2, 'fn': 2}",bert-base-uncased
acquired brain injury,2,condition,6,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
abi,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
sci,12,condition,39,"{'tp': 5, 'fp': 3, 'fn': 4}",bert-base-uncased
ste,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
exoskeleton,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##lo exoskeleton,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
stelo modular,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##oskeleton,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
ex,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
stelo,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
gait impairment,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
stelo modular exoskeleton,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
stelo exoskeleton,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
exoskeleton based on modular technology,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
concussion,2,condition,2,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
sub - maximal exercise protocol,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
sub - maximal exercise program,1,physical,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
sub-maximal exercise protocol,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
sub-maximal exercise program,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
chf 5074,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
mild cognitive impairment,3,condition,20,"{'tp': 3, 'fp': 0, 'fn': 0}",bert-base-uncased
bev,2,drug,0,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
rgbm,2,condition,0,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
navifus system,1,other,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
rec,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
fu,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
be,2,drug,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
radio,1,condition,1,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
te,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
r,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
##vacizumab,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
care,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##urrent glioblastoma multiforme,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
radiotherapy,1,radiotherapy,2,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
temozolomide,1,drug,2,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
bevacizumab,1,drug,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
fus add-on,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
recurrent glioblastoma multiforme,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
obstructive sleep apnea,4,condition,25,"{'tp': 3, 'fp': 0, 'fn': 1}",bert-base-uncased
stroke,14,condition,111,"{'tp': 7, 'fp': 3, 'fn': 4}",bert-base-uncased
continuous positive airway pressure,2,other,7,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
o - pe,2,other,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
##ap,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
oropharyngeal muscles,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
oropharyngeal exercise,2,physical,0,"{'tp': 0, 'fp': 1, 'fn': 1}",bert-base-uncased
post - stroke,2,condition,0,"{'tp': 0, 'fp': 2, 'fn': 0}",bert-base-uncased
cp,2,condition,8,"{'tp': 1, 'fp': 1, 'fn': 0}",bert-base-uncased
sham control arm,1,control,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
o-pe,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
strengthening oropharyngeal muscles,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
sham control,1,control,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
o-pes,1,physical,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
post-stroke,3,condition,11,"{'tp': 0, 'fp': 0, 'fn': 3}",bert-base-uncased
cpap,2,other,13,"{'tp': 1, 'fp': 0, 'fn': 1}",bert-base-uncased
vascular dementia,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
sta - 1,3,drug,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
marrow - sea deficiency,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
sta-1 capsule,3,other,0,"{'tp': 0, 'fp': 0, 'fn': 3}",bert-base-uncased
marrow-sea deficiency,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
18,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
computer - based training,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
interpretation training,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
florbetapir,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
electronic florbetapir ( 18f,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
computer-based training,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
methods of interpreting florbetapir (18f) pet scans,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
electronic florbetapir (18f) interpretation training program,1,other,0,"{'tp': 0, 'fp': 0, 'fn': 1}",bert-base-uncased
autism spectrum disorders,1,condition,1,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
cbt,5,behavioural,1,"{'tp': 1, 'fp': 0, 'fn': 4}",bert-base-uncased
asd,2,condition,1,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
autism spectrum disorder,2,condition,1,"{'tp': 2, 'fp': 0, 'fn': 0}",bert-base-uncased
intellectual disability,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",bert-base-uncased
cognitive,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",bert-base-uncased
disrupt,3,condition,0,"{'tp': 0, 'fp': 3, 'fn': 0}",bert-base-uncased
