entity_token,in_test_frq,entity_class,in_train_frq,evaluation,model
alexander disease,1,condition,0,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
ion373,2,drug,0,"{'tp': 2, 'fp': 0, 'fn': 0}",biobert-v1.1
##bo,10,control,0,"{'tp': 0, 'fp': 10, 'fn': 0}",biobert-v1.1
axd,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
place,16,control,0,"{'tp': 0, 'fp': 16, 'fn': 0}",biobert-v1.1
axd.,1,condition,0,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
placebo,14,control,163,"{'tp': 0, 'fp': 0, 'fn': 14}",biobert-v1.1
pain,34,condition,61,"{'tp': 13, 'fp': 11, 'fn': 10}",biobert-v1.1
cannabis,7,other,7,"{'tp': 3, 'fp': 0, 'fn': 4}",biobert-v1.1
cannabidiol,1,drug,1,"{'tp': 1, 'fp': 0, 'fn': 0}",biobert-v1.1
chronic pain,5,condition,9,"{'tp': 2, 'fp': 1, 'fn': 2}",biobert-v1.1
canna,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##anna,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
t,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##bis,1,other,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
cb,2,drug,0,"{'tp': 0, 'fp': 2, 'fn': 0}",biobert-v1.1
##bino,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
##ronic pain,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
ch,1,condition,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
cannabino,1,drug,0,"{'tp': 0, 'fp': 1, 'fn': 0}",biobert-v1.1
thc,1,drug,3,"{'tp': 0, 'fp': 0, 'fn': 1}",biobert-v1.1
