entity_token,nct_id,evaluation,target,entity_class,predicted,model
alexander disease,NCT04849741,tp,"{""(393, 397, 'condition', 'axd.')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(278, 284, 'drug', 'ion373')"", ""(39, 46, 'control', 'placebo')""}",condition,"{""(39, 44, 'control', 'place')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(393, 396, 'condition', 'axd')"", ""(278, 284, 'drug', 'ion373')""}",bert-base-uncased
ion373,NCT04849741,tp,"{""(393, 397, 'condition', 'axd.')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(278, 284, 'drug', 'ion373')"", ""(39, 46, 'control', 'placebo')""}",drug,"{""(39, 44, 'control', 'place')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(393, 396, 'condition', 'axd')"", ""(278, 284, 'drug', 'ion373')""}",bert-base-uncased
ion373,NCT04849741,tp,"{""(393, 397, 'condition', 'axd.')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(278, 284, 'drug', 'ion373')"", ""(39, 46, 'control', 'placebo')""}",drug,"{""(39, 44, 'control', 'place')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(393, 396, 'condition', 'axd')"", ""(278, 284, 'drug', 'ion373')""}",bert-base-uncased
place,NCT04849741,fp,"{""(393, 397, 'condition', 'axd.')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(278, 284, 'drug', 'ion373')"", ""(39, 46, 'control', 'placebo')""}",control,"{""(39, 44, 'control', 'place')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(393, 396, 'condition', 'axd')"", ""(278, 284, 'drug', 'ion373')""}",bert-base-uncased
axd,NCT04849741,fp,"{""(393, 397, 'condition', 'axd.')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(278, 284, 'drug', 'ion373')"", ""(39, 46, 'control', 'placebo')""}",condition,"{""(39, 44, 'control', 'place')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(393, 396, 'condition', 'axd')"", ""(278, 284, 'drug', 'ion373')""}",bert-base-uncased
placebo,NCT04849741,fn,"{""(393, 397, 'condition', 'axd.')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(278, 284, 'drug', 'ion373')"", ""(39, 46, 'control', 'placebo')""}",control,"{""(39, 44, 'control', 'place')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(393, 396, 'condition', 'axd')"", ""(278, 284, 'drug', 'ion373')""}",bert-base-uncased
axd.,NCT04849741,fn,"{""(393, 397, 'condition', 'axd.')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(278, 284, 'drug', 'ion373')"", ""(39, 46, 'control', 'placebo')""}",condition,"{""(39, 44, 'control', 'place')"", ""(166, 172, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(393, 396, 'condition', 'axd')"", ""(278, 284, 'drug', 'ion373')""}",bert-base-uncased
cannabidiol,NCT04576507,tp,"{""(776, 787, 'drug', 'cannabidiol')"", ""(854, 858, 'condition', 'pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(1018, 1022, 'condition', 'pain')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(1444, 1448, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(789, 792, 'drug', 'cbd')"", ""(60, 64, 'condition', 'pain')"", ""(1847, 1851, 'condition', 'pain')"", ""(1645, 1649, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(97, 109, 'condition', 'chronic pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(378, 390, 'condition', 'chronic pain')"", ""(686, 689, 'drug', 'thc')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1795, 1803, 'other', 'cannabis')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(1310, 1318, 'other', 'cannabis')""}",drug,"{""(776, 787, 'drug', 'cannabidiol')"", ""(1856, 1861, 'condition', 'abuse')"", ""(686, 688, 'drug', 'th')"", ""(854, 858, 'condition', 'pain')"", ""(1018, 1022, 'condition', 'pain')"", ""(1444, 1448, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(47, 64, 'condition', 'experimental pain')"", ""(561, 565, 'condition', 'pain')"", ""(664, 684, 'drug', 'tetrahydrocannabinol')"", ""(789, 792, 'drug', 'cbd')"", ""(1847, 1851, 'condition', 'pain')"", ""(1645, 1649, 'condition', 'pain')"", ""(996, 1013, 'other', 'high - cbd cannabis')"", ""(69, 74, 'condition', 'abuse')"", ""(1130, 1134, 'condition', 'pain')"", ""(97, 109, 'condition', 'chronic pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1219, 1224, 'control', 'place')"", ""(1795, 1803, 'other', 'cannabis')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(11, 28, 'other', 'repeated cannabis')""}",bert-base-uncased
cannabis,NCT04576507,tp,"{""(776, 787, 'drug', 'cannabidiol')"", ""(854, 858, 'condition', 'pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(1018, 1022, 'condition', 'pain')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(1444, 1448, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(789, 792, 'drug', 'cbd')"", ""(60, 64, 'condition', 'pain')"", ""(1847, 1851, 'condition', 'pain')"", ""(1645, 1649, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(97, 109, 'condition', 'chronic pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(378, 390, 'condition', 'chronic pain')"", ""(686, 689, 'drug', 'thc')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1795, 1803, 'other', 'cannabis')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(1310, 1318, 'other', 'cannabis')""}",other,"{""(776, 787, 'drug', 'cannabidiol')"", ""(1856, 1861, 'condition', 'abuse')"", ""(686, 688, 'drug', 'th')"", ""(854, 858, 'condition', 'pain')"", ""(1018, 1022, 'condition', 'pain')"", ""(1444, 1448, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(47, 64, 'condition', 'experimental pain')"", ""(561, 565, 'condition', 'pain')"", ""(664, 684, 'drug', 'tetrahydrocannabinol')"", ""(789, 792, 'drug', 'cbd')"", ""(1847, 1851, 'condition', 'pain')"", ""(1645, 1649, 'condition', 'pain')"", ""(996, 1013, 'other', 'high - cbd cannabis')"", ""(69, 74, 'condition', 'abuse')"", ""(1130, 1134, 'condition', 'pain')"", ""(97, 109, 'condition', 'chronic pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1219, 1224, 'control', 'place')"", ""(1795, 1803, 'other', 'cannabis')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(11, 28, 'other', 'repeated cannabis')""}",bert-base-uncased
pain,NCT04576507,tp,"{""(776, 787, 'drug', 'cannabidiol')"", ""(854, 858, 'condition', 'pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(1018, 1022, 'condition', 'pain')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(1444, 1448, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(789, 792, 'drug', 'cbd')"", ""(60, 64, 'condition', 'pain')"", ""(1847, 1851, 'condition', 'pain')"", ""(1645, 1649, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(97, 109, 'condition', 'chronic pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(378, 390, 'condition', 'chronic pain')"", ""(686, 689, 'drug', 'thc')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1795, 1803, 'other', 'cannabis')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(1310, 1318, 'other', 'cannabis')""}",condition,"{""(776, 787, 'drug', 'cannabidiol')"", ""(1856, 1861, 'condition', 'abuse')"", ""(686, 688, 'drug', 'th')"", ""(854, 858, 'condition', 'pain')"", ""(1018, 1022, 'condition', 'pain')"", ""(1444, 1448, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(47, 64, 'condition', 'experimental pain')"", ""(561, 565, 'condition', 'pain')"", ""(664, 684, 'drug', 'tetrahydrocannabinol')"", ""(789, 792, 'drug', 'cbd')"", ""(1847, 1851, 'condition', 'pain')"", ""(1645, 1649, 'condition', 'pain')"", ""(996, 1013, 'other', 'high - cbd cannabis')"", ""(69, 74, 'condition', 'abuse')"", ""(1130, 1134, 'condition', 'pain')"", ""(97, 109, 'condition', 'chronic pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1219, 1224, 'control', 'place')"", ""(1795, 1803, 'other', 'cannabis')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(11, 28, 'other', 'repeated cannabis')""}",bert-base-uncased
