entity_token,nct_id,evaluation,target,entity_class,predicted,model
alexander disease,NCT04849741,tp,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",condition,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
ion373,NCT04849741,tp,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",drug,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
ion373,NCT04849741,tp,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",drug,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
##bo,NCT04849741,fp,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",control,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
axd,NCT04849741,fp,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",condition,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
place,NCT04849741,fp,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",control,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
axd.,NCT04849741,fn,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",condition,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
placebo,NCT04849741,fn,"{""(39, 46, 'control', 'placebo')"", ""(393, 397, 'condition', 'axd.')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",control,"{""(393, 396, 'condition', 'axd')"", ""(39, 44, 'control', 'place')"", ""(44, 46, 'control', '##bo')"", ""(278, 284, 'drug', 'ion373')"", ""(190, 207, 'condition', 'alexander disease')"", ""(166, 172, 'drug', 'ion373')""}",biobert-v1.1
pain,NCT04576507,tp,"{""(1645, 1649, 'condition', 'pain')"", ""(60, 64, 'condition', 'pain')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 689, 'drug', 'thc')"", ""(854, 858, 'condition', 'pain')"", ""(1310, 1318, 'other', 'cannabis')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(97, 109, 'condition', 'chronic pain')"", ""(789, 792, 'drug', 'cbd')"", ""(1018, 1022, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(1795, 1803, 'other', 'cannabis')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1444, 1448, 'condition', 'pain')""}",condition,"{""(1645, 1649, 'condition', 'pain')"", ""(25, 28, 'other', '##bis')"", ""(60, 64, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(789, 791, 'drug', 'cb')"", ""(454, 463, 'drug', 'cannabino')"", ""(20, 25, 'drug', 'canna')"", ""(1219, 1224, 'control', 'place')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 687, 'drug', 't')"", ""(854, 858, 'condition', 'pain')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(97, 99, 'condition', 'ch')"", ""(1018, 1022, 'condition', 'pain')"", ""(99, 109, 'condition', '##ronic pain')"", ""(1130, 1134, 'condition', 'pain')"", ""(1224, 1226, 'control', '##bo')"", ""(1001, 1003, 'drug', 'cb')"", ""(561, 565, 'condition', 'pain')"", ""(802, 806, 'drug', '##bino')"", ""(675, 679, 'drug', '##anna')"", ""(1444, 1448, 'condition', 'pain')""}",biobert-v1.1
pain,NCT04576507,tp,"{""(1645, 1649, 'condition', 'pain')"", ""(60, 64, 'condition', 'pain')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 689, 'drug', 'thc')"", ""(854, 858, 'condition', 'pain')"", ""(1310, 1318, 'other', 'cannabis')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(97, 109, 'condition', 'chronic pain')"", ""(789, 792, 'drug', 'cbd')"", ""(1018, 1022, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(1795, 1803, 'other', 'cannabis')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1444, 1448, 'condition', 'pain')""}",condition,"{""(1645, 1649, 'condition', 'pain')"", ""(25, 28, 'other', '##bis')"", ""(60, 64, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(789, 791, 'drug', 'cb')"", ""(454, 463, 'drug', 'cannabino')"", ""(20, 25, 'drug', 'canna')"", ""(1219, 1224, 'control', 'place')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 687, 'drug', 't')"", ""(854, 858, 'condition', 'pain')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(97, 99, 'condition', 'ch')"", ""(1018, 1022, 'condition', 'pain')"", ""(99, 109, 'condition', '##ronic pain')"", ""(1130, 1134, 'condition', 'pain')"", ""(1224, 1226, 'control', '##bo')"", ""(1001, 1003, 'drug', 'cb')"", ""(561, 565, 'condition', 'pain')"", ""(802, 806, 'drug', '##bino')"", ""(675, 679, 'drug', '##anna')"", ""(1444, 1448, 'condition', 'pain')""}",biobert-v1.1
cannabis,NCT04576507,tp,"{""(1645, 1649, 'condition', 'pain')"", ""(60, 64, 'condition', 'pain')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 689, 'drug', 'thc')"", ""(854, 858, 'condition', 'pain')"", ""(1310, 1318, 'other', 'cannabis')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(97, 109, 'condition', 'chronic pain')"", ""(789, 792, 'drug', 'cbd')"", ""(1018, 1022, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(1795, 1803, 'other', 'cannabis')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1444, 1448, 'condition', 'pain')""}",other,"{""(1645, 1649, 'condition', 'pain')"", ""(25, 28, 'other', '##bis')"", ""(60, 64, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(789, 791, 'drug', 'cb')"", ""(454, 463, 'drug', 'cannabino')"", ""(20, 25, 'drug', 'canna')"", ""(1219, 1224, 'control', 'place')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 687, 'drug', 't')"", ""(854, 858, 'condition', 'pain')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(97, 99, 'condition', 'ch')"", ""(1018, 1022, 'condition', 'pain')"", ""(99, 109, 'condition', '##ronic pain')"", ""(1130, 1134, 'condition', 'pain')"", ""(1224, 1226, 'control', '##bo')"", ""(1001, 1003, 'drug', 'cb')"", ""(561, 565, 'condition', 'pain')"", ""(802, 806, 'drug', '##bino')"", ""(675, 679, 'drug', '##anna')"", ""(1444, 1448, 'condition', 'pain')""}",biobert-v1.1
pain,NCT04576507,tp,"{""(1645, 1649, 'condition', 'pain')"", ""(60, 64, 'condition', 'pain')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 689, 'drug', 'thc')"", ""(854, 858, 'condition', 'pain')"", ""(1310, 1318, 'other', 'cannabis')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(97, 109, 'condition', 'chronic pain')"", ""(789, 792, 'drug', 'cbd')"", ""(1018, 1022, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(1795, 1803, 'other', 'cannabis')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1444, 1448, 'condition', 'pain')""}",condition,"{""(1645, 1649, 'condition', 'pain')"", ""(25, 28, 'other', '##bis')"", ""(60, 64, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(789, 791, 'drug', 'cb')"", ""(454, 463, 'drug', 'cannabino')"", ""(20, 25, 'drug', 'canna')"", ""(1219, 1224, 'control', 'place')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 687, 'drug', 't')"", ""(854, 858, 'condition', 'pain')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(97, 99, 'condition', 'ch')"", ""(1018, 1022, 'condition', 'pain')"", ""(99, 109, 'condition', '##ronic pain')"", ""(1130, 1134, 'condition', 'pain')"", ""(1224, 1226, 'control', '##bo')"", ""(1001, 1003, 'drug', 'cb')"", ""(561, 565, 'condition', 'pain')"", ""(802, 806, 'drug', '##bino')"", ""(675, 679, 'drug', '##anna')"", ""(1444, 1448, 'condition', 'pain')""}",biobert-v1.1
pain,NCT04576507,tp,"{""(1645, 1649, 'condition', 'pain')"", ""(60, 64, 'condition', 'pain')"", ""(454, 466, 'drug', 'cannabinoids')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(1465, 1473, 'other', 'cannabis')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 689, 'drug', 'thc')"", ""(854, 858, 'condition', 'pain')"", ""(1310, 1318, 'other', 'cannabis')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(1219, 1226, 'control', 'placebo')"", ""(656, 684, 'drug', 'delta-9-tetrahydrocannabinol')"", ""(97, 109, 'condition', 'chronic pain')"", ""(789, 792, 'drug', 'cbd')"", ""(1018, 1022, 'condition', 'pain')"", ""(996, 1013, 'other', 'high-cbd cannabis')"", ""(1130, 1134, 'condition', 'pain')"", ""(1795, 1803, 'other', 'cannabis')"", ""(797, 808, 'drug', 'cannabinoid')"", ""(529, 547, 'other', 'medicinal cannabis')"", ""(20, 28, 'other', 'cannabis')"", ""(1444, 1448, 'condition', 'pain')""}",condition,"{""(1645, 1649, 'condition', 'pain')"", ""(25, 28, 'other', '##bis')"", ""(60, 64, 'condition', 'pain')"", ""(1568, 1576, 'other', 'cannabis')"", ""(1118, 1126, 'other', 'cannabis')"", ""(789, 791, 'drug', 'cb')"", ""(454, 463, 'drug', 'cannabino')"", ""(20, 25, 'drug', 'canna')"", ""(1219, 1224, 'control', 'place')"", ""(1847, 1851, 'condition', 'pain')"", ""(1431, 1439, 'other', 'cannabis')"", ""(686, 687, 'drug', 't')"", ""(854, 858, 'condition', 'pain')"", ""(776, 787, 'drug', 'cannabidiol')"", ""(378, 390, 'condition', 'chronic pain')"", ""(97, 99, 'condition', 'ch')"", ""(1018, 1022, 'condition', 'pain')"", ""(99, 109, 'condition', '##ronic pain')"", ""(1130, 1134, 'condition', 'pain')"", ""(1224, 1226, 'control', '##bo')"", ""(1001, 1003, 'drug', 'cb')"", ""(561, 565, 'condition', 'pain')"", ""(802, 806, 'drug', '##bino')"", ""(675, 679, 'drug', '##anna')"", ""(1444, 1448, 'condition', 'pain')""}",biobert-v1.1
